Step	Best	Median	Predicted	Progress
0	91.9391	96.9108	0	0
1	88.4721	96.2172	-1645.02	0.0391873
2	86.9722	95.9508	-1154.75	0.0281525
3	89.1498	95.1632	-663.495	0.0170529
4	82.4944	95.4712	-851.467	0.0217277
5	72.2365	95.6538	-1069.88	0.0271444
6	80.2936	96.2047	-897.982	0.0232539
7	64.7967	95.0148	-1136.23	0.0294725
8	85.2591	95.2072	-901.891	0.0238075
9	83.3185	95.5738	-750.969	0.0201594
10	41.3827	94.5939	-909.706	0.0244923
11	85.443	94.1582	-754.274	0.0205742
12	81.2709	95.997	-712.606	0.0196178
13	81.7882	95.3269	-576.122	0.0159031
14	46.6851	93.076	-715.742	0.0200104
15	79.015	95.297	-578.723	0.0161601
16	33.3813	95.0957	-718.877	0.020419
17	67.597	92.2987	-634.333	0.0179702
18	82.6058	93.3314	-582.692	0.0167644
19	7.75876	91.1015	-637.138	0.0182991
20	60.177	91.0248	-686.953	0.0200916
21	7.28136	88.6369	-701.469	0.0206551
22	8.20479	90.3079	-756.406	0.0226633
23	10.3569	90.4213	-800.887	0.0243473
24	8.07712	89.6365	-1113.52	0.0365409
25	61.8672	87.0636	-804.296	0.0249549
26	1.56823	84.6191	-1118.12	0.0379268
27	6.26099	89.3788	-1184.68	0.0417886
28	1.43471	88.2479	-1401.43	0.0555363
29	2.34535	87.4624	-1539.52	0.0676288
30	36.8792	81.2696	-1383.35	0.0570475
31	13.0157	82.0135	-1262.55	0.0498318
32	1.25335	86.6596	-1339.1	0.056564
33	1.30278	84.0787	-1385.85	0.0615083
34	1.2378	80.8897	-1380.09	0.0626076
35	48.2613	86.2449	-1352.26	0.0619819
36	0.959636	78.5435	-1337.99	0.062641
37	1.16012	85.5513	-1321.76	0.0625922
38	7.77969	78.7948	-1296.54	0.0617483
39	1.22898	81.9818	-1282.55	0.0621004
40	1.49285	84.5064	-1253.69	0.0609939
41	1.25853	81.0281	-1225.11	0.0602169
42	1.30267	85.3716	-1179.04	0.0568286
43	1.28407	81.3796	-1146.23	0.0555697
44	0.872257	84.9858	-1020.9	0.0523031
45	1.92148	83.6702	-954.222	0.0515678
46	1.07283	76.9471	-865.146	0.0493938
47	1.09085	87.7571	-824.712	0.0496096
48	1.11873	81.0369	-702.723	0.0457213
49	0.816588	82.699	-669.398	0.0462458
50	0.875392	72.0484	-510.096	0.04292
51	1.31555	69.2693	-475.37	0.0425155
52	1.21072	72.6324	-388.534	0.0424539
53	1.05627	63.4118	-356.707	0.0422096
54	0.933959	71.1832	-324.031	0.0419148
55	1.00303	67.7647	-289.253	0.0393307
56	0.759107	70.5779	-262.99	0.0387453
