Step	Best	Median	Predicted	Progress
0	70.242	95.5317	0	0
1	74.9432	94.7414	2425.53	-0.0627299
2	60.4586	92.8103	-2385.4	0.0777641
3	0.754067	94.8693	-7205.92	0.284762
4	0.689804	91.8399	-10534.1	0.652427
5	0.744382	89.6787	-8992.7	0.64939
6	0.653143	86.4085	-5806.16	0.392414
7	0.633422	89.7354	-45.0218	0.104706
8	0.649687	88.6685	-30.6491	0.0790859
9	0.668988	89.8184	-16.2077	0.0450053
10	0.711648	86.0632	-12.7297	0.0364978
11	0.96875	91.4824	-9.23295	0.0271494
12	0.634877	84.8549	-8.90109	0.0265521
13	15.6887	87.7769	-7.27488	0.022132
14	0.762318	88.3131	-3.96469	0.0128271
15	0.672668	86.1401	-1.78687	0.00683078
16	0.637186	84.652	-2.13481	0.00781213
17	0.667305	83.2151	-2.39652	0.00854979
18	20.0071	88.2361	-1.45958	0.0059879
19	0.632982	75.941	-1.89444	0.00722623
20	0.639048	81.6365	-2.48548	0.00886198
21	0.633755	75.6872	-2.61937	0.00929356
22	0.631023	76.7974	-2.66345	0.00943254
23	0.629094	80.5951	-2.58843	0.00923738
24	0.627445	69.1998	-2.32156	0.00852399
25	0.661853	79.0742	-1.70201	0.00683954
26	0.655237	65.9174	-1.21516	0.00544724
27	0.637669	93.0408	-1.00677	0.0048501
28	0.646078	68.1594	-0.913212	0.00458195
29	0.639839	87.5976	-0.809991	0.00428752
30	0.639071	78.4758	-0.782397	0.00420811
31	0.635271	71.3008	-0.792974	0.00422793
32	0.65626	69.5068	-0.532151	0.00348278
33	0.639591	66.3853	-0.493739	0.00337097
34	0.639249	67.8655	-0.427085	0.00317722
35	0.661254	61.6731	-0.322299	0.00287128
36	0.646695	59.8363	-0.156772	0.00238872
37	0.632916	70.3369	-0.0761322	0.00215318
38	0.637068	65.5995	-0.0450842	0.0020606
39	0.631181	80.3413	-0.0398176	0.00204346
40	0.63961	66.2766	0.0105256	0.00189404
41	0.636754	70.0967	0.0732476	0.00170829
42	0.653734	61.4361	0.15106	0.00147859
43	0.647704	51.7334	0.22814	0.00124909
44	0.631578	41.9542	0.240179	0.00121046
45	0.636851	60.5619	0.339621	0.000913795
46	0.634996	61.7895	0.362551	0.00084397
47	0.632313	50.8426	0.298896	0.00103179
48	0.645144	49.4794	0.287417	0.00106541
49	0.63379	45.2423	0.333412	0.000926541
50	0.633521	53.2996	0.343122	0.000896293
51	0.626646	43.7768	0.315119	0.000978525
52	0.636073	53.4193	0.341961	0.000897097
53	0.633724	54.6825	0.356134	0.000853744
54	0.639012	56.8326	0.368704	0.000815407
55	0.630217	57.3189	0.373889	0.00079797
56	0.634036	58.0596	0.376138	0.00079068
57	0.624895	54.4323	0.361547	0.000832515
58	0.630955	29.6162	0.367041	0.000815414
59	0.631769	54.8982	0.373998	0.000793612
60	0.632229	26.7375	0.395975	0.000727039
61	0.630485	10.4111	0.412453	0.000676737
62	0.6367	46.4387	0.429419	0.000624866
63	0.627896	28.7565	0.411582	0.000677196
64	0.640234	38.1593	0.428616	0.000625257
65	0.632391	1.11838	0.433102	0.00061117
66	0.635354	45.2897	0.439071	0.000592515
67	0.621347	37.8935	0.432317	0.000611544
68	0.633599	19.6283	0.43831	0.000592866
69	0.636702	0.676837	0.448441	0.000562238
70	0.629353	0.671586	0.451699	0.000552315
71	0.626118	0.661751	0.446616	0.000565849
72	0.629391	6.92147	0.451698	0.000550493
73	0.622576	0.654944	0.443625	0.000572964
74	0.632756	0.856618	0.450993	0.000550796
75	0.62911	0.664938	0.45439	0.000540164
76	0.630973	15.2233	0.460359	0.000521948
77	0.631912	0.658782	0.464961	0.000507493
78	0.632979	0.654282	0.471571	0.0004877
79	0.632011	6.09913	0.476734	0.000471835
80	0.631796	0.66051	0.47852	0.000466372
81	0.628065	0.665649	0.480409	0.000460055
82	0.628123	0.649028	0.485005	0.000446017
83	0.626072	0.65754	0.4886	0.000433974
84	0.62365	0.870341	0.484603	0.000444754
85	0.624216	0.656033	0.482234	0.000450545
86	0.631301	0.702584	0.487002	0.000435978
87	0.628092	0.654998	0.488093	0.000432548
88	0.627729	0.6559	0.489905	0.000427035
89	0.630525	0.663328	0.491426	0.000421782
90	0.630773	0.659089	0.49313	0.000416049
91	0.627529	0.644954	0.496203	0.000406415
92	0.626991	0.658288	0.498693	0.000398324
93	0.62497	1.00961	0.500235	0.000392978
94	0.630046	0.773186	0.505761	0.000376034
95	0.628264	0.647121	0.506691	0.000373359
96	0.626858	0.653136	0.509767	0.000364553
97	0.628136	0.654013	0.512502	0.000355801
98	0.628654	0.654196	0.515076	0.000347535
99	0.628104	0.648732	0.517874	0.000338414
100	0.626875	0.646306	0.519555	0.000332928
101	0.620305	0.642925	0.517443	0.000338529
102	0.627664	0.80294	0.519132	0.000333039
103	0.629924	0.655908	0.519672	0.000331173
104	0.628416	0.644709	0.522008	0.000323999
105	0.630194	0.644698	0.525719	0.000312969
106	0.623439	0.648996	0.525283	0.000313586
107	0.626898	29.3408	0.52713	0.00030791
108	0.627383	0.645701	0.527926	0.000305289
109	0.630563	1.03709	0.528763	0.000302666
110	0.628926	0.650369	0.531317	0.000294986
111	0.628646	0.712558	0.533507	0.000288645
112	0.630469	0.65012	0.535795	0.00028177
113	0.627192	0.645484	0.537247	0.000277321
114	0.62626	0.644015	0.539217	0.000271348
115	0.624612	0.647482	0.53957	0.000269711
116	0.628945	0.637439	0.542894	0.000259786
117	0.628667	0.652438	0.545117	0.000252703
118	0.629026	0.643163	0.54652	0.000248431
119	0.625702	0.643756	0.547345	0.000245815
120	0.626737	0.640769	0.548572	0.000241914
121	0.626492	0.638006	0.549593	0.00023861
122	0.624812	0.637867	0.54877	0.000240496
123	0.625759	0.63946	0.550192	0.000236114
124	0.626978	0.640789	0.550817	0.000233862
125	0.625494	0.653362	0.552281	0.000229189
126	0.627081	0.637492	0.554675	0.00022197
127	0.622479	0.64191	0.552566	0.000227552
128	0.621296	0.636028	0.551627	0.00022989
129	0.625081	0.665992	0.55252	0.000226896
130	0.622845	0.636373	0.552865	0.000225362
131	0.624305	0.635224	0.553267	0.000223932
132	0.626032	0.636125	0.553963	0.000221678
133	0.623001	0.637089	0.554118	0.000220618
134	0.620703	0.644935	0.55361	0.000221547
135	0.624903	0.663938	0.554428	0.000218977
136	0.624666	0.636393	0.555489	0.000215766
137	0.623571	0.636102	0.555926	0.000214151
138	0.623836	0.630584	0.555946	0.000213868
139	0.622276	0.64881	0.555998	0.000213288
140	0.623124	0.648799	0.556475	0.000211587
141	0.622351	0.656555	0.555916	0.000212515
142	0.622916	0.634902	0.555842	0.000212136
143	0.623881	0.65053	0.556273	0.000210799
144	0.622952	0.634755	0.556661	0.000209639
145	0.623641	0.637844	0.556776	0.000208935
146	0.623045	0.642866	0.557169	0.000207424
147	0.621634	0.633321	0.556512	0.000208979
148	0.619733	0.633347	0.556246	0.000209371
149	0.622161	0.639709	0.555726	0.000210414
150	0.621193	0.636717	0.555323	0.000211102
151	0.621041	0.634719	0.554818	0.000212023
152	0.620986	0.642703	0.553925	0.000214123
153	0.620623	0.637126	0.553534	0.000214893
154	0.620787	0.636348	0.552938	0.00021621
155	0.621399	0.634808	0.553268	0.000214923
156	0.620032	0.631692	0.552478	0.000216785
157	0.61866	0.633655	0.551647	0.000218761
158	0.621506	0.629851	0.552205	0.000216832
