Step	Best	Median	Predicted	Progress
0	82.2203	97.8782	0	0
1	46.6573	91.7908	-17734.8	0.762215
2	67.752	88.7088	-3549.33	0.101363
3	74.2807	88.4519	3338.67	-0.0963629
4	75.4146	92.3652	1991.07	-0.0549941
5	77.1507	92.638	945.216	-0.0235636
6	80.8771	87.1781	1297.55	-0.0328115
7	74.3432	88.0365	948.688	-0.0230211
8	77.4901	86.9757	798.648	-0.0188486
9	75.0611	87.2809	646.775	-0.015054
10	77.3244	87.5236	466.069	-0.010245
11	60.5581	89.1058	132.315	-0.00150485
12	68.9371	85.3661	82.6826	-0.000201964
13	71.9874	86.7391	-36.764	0.0029509
14	70.456	83.9626	-115.774	0.00505892
15	53.1707	85.0921	-239.552	0.00836209
16	50.7168	84.7544	-323.664	0.0106866
17	29.6341	83.7746	-343.436	0.0113518
18	60.6	84.9671	-376.681	0.0123796
19	63.039	85.2829	-403.033	0.0130995
20	49.77	84.5513	-510.661	0.0162303
21	64.5847	84.5112	-452.378	0.0146138
22	52.1203	84.9993	-512.941	0.0164981
23	48.3338	82.0988	-546.248	0.0177224
24	35.8346	82.4884	-590.938	0.0194167
25	46.3448	84.8926	-685.415	0.0226716
26	13.6971	85.0909	-729.294	0.024188
27	47.6621	84.1652	-714.369	0.0239609
28	23.4559	84.2211	-733.5	0.0248296
29	49.4405	82.3915	-717.401	0.0245491
30	63.5262	83.731	-684.631	0.023564
31	40.0843	84.1392	-673.668	0.0233617
32	48.214	83.1549	-663.278	0.0232278
33	46.6356	84.2553	-642.238	0.0227045
34	65.3612	81.2994	-602.029	0.021416
35	2.29297	80.7782	-644.96	0.023232
36	42.016	81.4148	-604.592	0.0218846
37	0.635401	81.263	-647.681	0.0237845
38	0.761983	71.3656	-671.702	0.0249677
39	0.636244	77.7146	-673.405	0.0254205
40	40.3175	75.9625	-645.849	0.0247025
41	11.7644	69.7644	-676.213	0.0260835
42	0.63136	77.9194	-711.471	0.0277828
43	0.631585	70.7016	-746.873	0.0300129
44	0.785643	67.5046	-797.926	0.0330505
45	0.631361	78.4971	-842.929	0.0364408
46	19.1232	73.6508	-820.739	0.0353758
47	0.635704	70.1367	-837.235	0.0371956
48	0.630421	72.9125	-865.087	0.0400625
49	0.637202	69.086	-872.6	0.0411963
50	0.632338	73.0215	-862.761	0.0412623
51	0.635285	67.8386	-848.039	0.040891
52	0.62543	70.049	-837.051	0.0405481
53	0.635301	62.6091	-819.398	0.0403387
54	0.629104	67.91	-817.022	0.0402113
55	0.633781	63.1678	-817.211	0.0409566
56	0.629265	70.6354	-808.91	0.0408556
57	0.630657	62.5213	-801.24	0.0410013
58	0.635025	67.2685	-790.876	0.0411303
59	0.631909	65.3852	-777.521	0.041003
60	0.632058	52.5469	-767.683	0.04114
61	0.635547	57.6076	-759.089	0.0411343
62	0.632531	57.8821	-748.247	0.0413143
63	0.628454	51.7623	-742.99	0.0412316
64	0.627402	51.149	-729.788	0.040637
65	0.629692	56.4229	-726.619	0.0409738
66	0.630544	54.0134	-719.651	0.0412678
67	0.625014	57.7102	-702.13	0.040678
68	0.630054	44.655	-693.972	0.0403506
69	0.62135	48.6601	-684.872	0.0403686
70	0.625961	52.9212	-656.242	0.0394676
71	0.623948	54.5464	-596.198	0.0369492
72	0.624661	56.7481	-557.854	0.0348264
73	0.6255	48.4694	-535.951	0.0341022
74	0.628062	54.7117	-489.985	0.0321029
75	0.628966	57.0083	-464.88	0.0310779
76	0.628639	54.4802	-371.48	0.0298973
