Step	Best	Median	Predicted	Progress
0	52.9762	94.8137	0	0
1	28.1284	88.2126	-12395.8	0.883369
2	50.6299	83.7517	-535.953	0.022906
3	31.5724	83.9263	-2040.9	0.103337
4	46.2667	82.7493	-792.428	0.0343849
5	31.0178	79.4385	-927.578	0.047024
6	6.65993	73.997	-2153.08	0.116076
7	0.98776	62.6995	-3413.31	0.271437
8	1.00359	56.0274	-3409.34	0.305549
9	1.93239	56.5136	-3369.98	0.331965
10	0.961372	50.5018	-3049.89	0.311781
11	0.943437	55.2412	-2659.92	0.272151
12	0.960597	56.3575	-2336.6	0.269799
13	0.986792	41.5553	-1785.58	0.219028
14	0.960304	45.2846	-1134.98	0.16931
15	0.960382	53.9563	-485.99	0.153784
16	0.950449	46.579	-247.566	0.118539
17	0.962503	32.3159	-12.3008	0.0229307
18	0.981885	41.8932	-8.81732	0.0176034
19	0.964208	35.5274	-6.83712	0.0143116
20	0.963372	33.3652	-5.37831	0.0118115
21	0.962192	38.9765	-3.05057	0.00775778
22	0.969204	55.3828	-1.70135	0.00526351
23	0.953651	46.4145	-1.26073	0.00442316
24	0.970192	37.3441	-0.886136	0.00370106
25	0.959187	38.2703	-0.690716	0.00331883
26	0.944038	40.2419	-0.694024	0.00332525
27	0.972382	40.7925	-0.312951	0.00256824
28	0.952957	42.7325	-0.14956	0.0022438
29	0.93043	39.4245	-0.297286	0.00253393
30	0.936095	24.3701	-0.347981	0.00263355
31	0.951166	16.5552	-0.244793	0.00242671
32	0.95437	41.9758	-0.170954	0.00227874
33	0.955841	34.511	-0.0943043	0.00212502
34	0.960419	38.7647	0.0121415	0.00191203
35	0.950981	38.6152	0.0947987	0.0017461
36	0.966319	33.9999	0.204253	0.00152731
37	0.957303	28.0227	0.284136	0.00136619
38	0.950582	28.4421	0.307062	0.0013192
39	0.946182	38.5156	0.29588	0.00133958
40	0.940466	40.9433	0.306921	0.00131572
41	0.94743	19.0056	0.36987	0.00118856
42	0.934664	34.4128	0.304369	0.00131745
43	0.954885	15.1575	0.367568	0.00118997
44	0.931452	26.5907	0.301817	0.00131919
45	0.938838	15.2319	0.320251	0.00128062
46	0.956352	23.7876	0.365622	0.00118811
47	0.935387	19.4232	0.339662	0.00123842
48	0.949362	25.8957	0.382727	0.00115078
49	0.930624	20.8164	0.347838	0.00121884
50	0.935489	24.6045	0.367434	0.00117817
51	0.945633	20.4792	0.400542	0.00111081
52	0.9353	3.89315	0.407802	0.00109475
53	0.927228	4.75509	0.406485	0.00109587
54	0.929921	6.0681	0.39213	0.00112288
55	0.938841	18.6207	0.40928	0.00108727
56	0.943362	19.0503	0.403597	0.00109715
57	0.928987	3.30436	0.418127	0.00106689
58	0.95747	13.8362	0.424405	0.00105293
59	0.943551	18.804	0.431094	0.00103861
60	0.941467	21.9606	0.472771	0.000954361
61	0.947615	5.40669	0.485636	0.000928105
62	0.954183	7.51735	0.489754	0.000919103
63	0.945527	10.0123	0.510803	0.000876246
64	0.968178	32.5244	0.51183	0.000873279
65	0.944419	13.9932	0.531154	0.000834469
66	0.944274	23.6355	0.542217	0.000812212
67	0.932167	2.02946	0.544355	0.000806797
68	0.949085	5.78646	0.561833	0.000771379
69	0.952685	5.83271	0.574366	0.000746016
70	0.9532	8.61049	0.589909	0.000714193
71	0.940577	6.89266	0.611104	0.000672571
72	0.937555	12.5117	0.622205	0.000650285
73	0.945193	5.05568	0.631394	0.000631471
74	0.947564	14.8705	0.637788	0.000618177
75	0.953653	12.0148	0.653726	0.000585698
76	0.936429	0.991922	0.672452	0.000549059
77	0.945253	1.77306	0.687039	0.00051996
78	0.926904	1.85266	0.676269	0.000540056
79	0.929134	7.02757	0.669974	0.000551025
80	0.938381	1.063	0.682831	0.000525616
81	0.937182	10.1384	0.6893	0.000512033
82	0.926745	6.66342	0.681829	0.000525892
83	0.950436	16.7717	0.697221	0.000495029
84	0.949825	15.598	0.700914	0.000487008
85	0.933603	13.2537	0.703222	0.000481967
86	0.927755	4.11575	0.702278	0.000482711
87	0.935726	8.31311	0.70736	0.00047254
88	0.937902	20.3629	0.712514	0.000461991
89	0.936267	2.02231	0.721519	0.000443817
90	0.933943	15.04	0.731621	0.000423688
91	0.943119	1.00802	0.73946	0.00040819
92	0.938296	1.90737	0.746077	0.000394919
93	0.946948	4.14941	0.755914	0.000374925
94	0.949495	7.28192	0.757534	0.000371638
95	0.937631	26.1598	0.760041	0.000366224
96	0.950401	13.4496	0.761845	0.000362059
97	0.942984	1.77153	0.76358	0.00035803
98	0.937977	10.4148	0.765801	0.000353203
99	0.94407	11.299	0.767503	0.000349468
100	0.940377	1.0952	0.768765	0.000346622
101	0.949391	3.15655	0.775477	0.000333179
102	0.939353	12.4117	0.777099	0.000329548
103	0.938314	0.991711	0.787364	0.000310354
104	0.941912	1.17061	0.793961	0.000297233
105	0.937003	0.971116	0.795827	0.000293387
106	0.944064	2.75719	0.797094	0.000290818
107	0.945378	9.12532	0.800613	0.000283844
108	0.937015	0.981887	0.805809	0.000273889
109	0.929304	7.10156	0.800211	0.000283662
110	0.940325	0.997523	0.805289	0.000273964
111	0.943065	0.980354	0.811889	0.00026157
112	0.93814	1.1791	0.818175	0.000248639
113	0.94537	2.95974	0.819897	0.00024539
114	0.95337	1.08569	0.823154	0.000239034
115	0.942278	0.986859	0.825291	0.000234556
116	0.946573	22.7095	0.82817	0.00022883
117	0.938422	2.51777	0.829012	0.000226865
118	0.952723	7.38674	0.832412	0.00021981
119	0.938556	1.36556	0.831801	0.000220802
120	0.940439	2.48254	0.833979	0.00021613
121	0.945847	1.48236	0.835966	0.000212437
122	0.944075	0.97761	0.839355	0.000205939
123	0.94583	2.27497	0.841385	0.000201824
124	0.935688	1.06652	0.844758	0.000194774
125	0.949336	8.25575	0.847254	0.000189761
126	0.936338	1.79942	0.847743	0.000188047
127	0.944892	2.93219	0.849772	0.000184025
128	0.940175	0.978001	0.852656	0.000178064
129	0.947167	0.984615	0.854853	0.000173502
130	0.940128	1.46229	0.857228	0.000168667
131	0.947854	0.984916	0.860458	0.000162478
132	0.948472	10.9308	0.860847	0.000162005
133	0.949868	1.22501	0.862563	0.000158335
134	0.943537	2.34388	0.868048	0.000147891
135	0.933802	0.976946	0.868025	0.000147692
136	0.940831	0.993722	0.868398	0.000146811
137	0.953984	4.23745	0.869946	0.00014391
138	0.935201	19.7077	0.871803	0.00014042
139	0.945575	23.1091	0.872098	0.000139712
140	0.937063	1.5107	0.873776	0.000136556
141	0.945187	6.12397	0.874924	0.000134308
142	0.936265	0.986516	0.875484	0.00013286
143	0.949994	0.977579	0.87673	0.000130268
144	0.951743	5.6197	0.879311	0.000124953
145	0.938427	20.5453	0.881049	0.000121199
146	0.945919	0.970244	0.882626	0.000118175
147	0.933238	0.982663	0.882745	0.00011773
148	0.948861	1.04105	0.887866	0.000108369
149	0.935399	13.5653	0.887598	0.000108615
