Step	Best	Median	Predicted	Progress
0	104.959	107.959	0	0
1	102.874	107.128	-939.526	0.0202656
2	101.915	105.569	-659.093	0.0148235
3	101.999	104.245	-378.137	0.00936412
4	101.309	104.379	-214.192	0.00617084
5	89.4687	103.764	-380.055	0.00945263
6	85.8771	103.626	-665.181	0.0152764
7	45.818	91.315	-952.035	0.0215774
8	74.0229	98.3425	-1855.62	0.0423072
9	59.8052	85.7539	-2563.93	0.0599247
10	67.8883	86.557	-2385.09	0.0567829
11	62.2248	90.641	-2236.09	0.0545649
12	72.4349	88.4381	-2134.49	0.0533586
13	45.0192	88.7571	-2245.28	0.0577141
14	70.8022	89.3194	-2095.03	0.0547905
15	44.2098	89.9282	-2122.02	0.0573589
16	46.1467	87.2	-2052.4	0.0564929
17	39.3008	86.4153	-2002.66	0.0567431
18	10.7397	83.6618	-2060.78	0.0598755
19	46.5918	86.612	-2010.83	0.0601565
20	13.0814	87.8712	-2058.1	0.0633489
21	11.0284	84.6546	-2107.72	0.067647
22	13.5693	84.1877	-2129.23	0.0713802
23	46.6174	85.756	-2116.23	0.0725552
24	16.1694	85.0663	-2074.78	0.0725395
25	14.9422	88.7951	-2035.33	0.0734037
26	10.742	86.0842	-1995.49	0.0741995
27	9.17575	83.8384	-1952.72	0.073624
28	14.5956	84.9897	-1898	0.0732443
29	12.8994	85.7104	-1846.6	0.0730589
30	14.1129	84.9823	-1828.69	0.0743866
31	21.8129	85.517	-1812.94	0.0763535
32	10.8921	86.3827	-1796.46	0.0777208
33	33.0757	87.9411	-1618.53	0.0677315
34	6.0862	83.9366	-1575.89	0.0660351
35	12.84	86.3288	-1529.36	0.0666117
36	10.3887	87.4322	-1490	0.0673329
37	10.3366	86.1625	-1387.28	0.0627035
38	11.1551	85.8131	-1340.12	0.0615661
39	13.431	86.521	-1272.74	0.06024
40	8.58703	83.0514	-1189.48	0.0552
41	15.9706	86.1508	-1170.14	0.0553899
42	8.77804	84.6965	-1019.75	0.0499053
43	11.0742	84.2715	-894.055	0.0476418
44	11.4525	84.7703	-749.288	0.0430839
45	17.4338	85.2504	-713.532	0.0413709
46	9.1383	84.912	-602.438	0.0376497
47	12.256	80.3647	-557.495	0.0346507
48	6.59286	76.2135	-499.983	0.0327756
49	5.97382	84.014	-514.404	0.033613
50	6.53192	82.2422	-492.377	0.0336887
51	13.8691	81.6567	-467.666	0.0334455
52	12.579	82.3473	-441.623	0.0324499
53	7.71602	78.0776	-405.388	0.0310511
54	6.47258	85.1976	-367.899	0.0287002
55	5.75721	81.6875	-362.308	0.02878
56	9.81608	84.4146	-340.495	0.0286823
57	12.8236	79.9262	-316.397	0.0278081
58	12.7039	81.7339	-290.956	0.0262089
59	9.20913	75.3333	-247.441	0.0239297
60	8.55045	75.4462	-228.871	0.0225461
61	10.632	81.1752	-200.28	0.0206196
62	10.5149	78.8468	-194.212	0.0203716
63	6.31582	72.9182	-190.604	0.0203674
64	10.212	76.7656	-180.379	0.0198769
65	10.6879	73.7217	-160.852	0.0188871
66	7.28124	73.713	-156.278	0.0186172
67	9.08646	78.7984	-148.81	0.0181866
68	12.0674	85.907	-142.873	0.0179074
69	7.98481	80.0225	-137.134	0.0171126
70	10.9279	72.14	-130.727	0.0161373
71	8.52063	73.4067	-127.245	0.0159575
72	7.63974	82.004	-119.502	0.0153791
73	8.27389	75.0836	-115.631	0.0151323
74	10.2361	80.5099	-112.077	0.0148866
75	6.60533	76.7107	-109.261	0.0148277
76	8.37594	77.5813	-104.228	0.0144267
77	7.10759	77.7222	-103.525	0.0143841
78	5.81421	81.6172	-101.021	0.0143535
79	7.68794	75.313	-96.7023	0.0140505
80	8.3857	76.6399	-90.8308	0.0136701
81	7.95787	71.9071	-88.3153	0.0134388
82	8.48946	75.173	-84.5059	0.0131054
