Step	Best	Median	Predicted	Progress
0	22.3652	41.9185	0	0
1	23.4236	29.9089	552.596	-0.0451829
2	20.4588	37.1176	-456.152	0.0455316
3	24.2964	31.3086	294.176	-0.0228836
4	20.6174	26.9353	-103.375	0.011475
5	20.6114	27.6328	-154.772	0.0164579
6	20.8539	27.4302	-89.8889	0.0103461
7	13.2516	29.9569	-177.214	0.0188472
8	13.6073	36.2452	-325.212	0.0338443
9	15.0662	26.8513	-452.19	0.0486044
10	21.3659	28.8582	-326.584	0.0350299
11	18.6009	29.1684	-204.162	0.0222462
12	15.9307	25.7096	-239.172	0.0264439
13	16.9574	25.1275	-226.177	0.0250158
14	16.895	25.6637	-189.055	0.0213339
15	15.7331	26.8462	-197.198	0.0224202
16	13.7284	27.3513	-204.913	0.0236375
17	13.4911	26.5966	-220.099	0.0255027
18	16.5241	24.3017	-205.794	0.0242098
19	15.7298	24.859	-199.584	0.0235518
20	12.7203	23.1053	-219.819	0.0261573
21	13.4569	23.7015	-209.365	0.0251792
22	10.7576	22.8888	-222.742	0.0270645
23	13.5941	24.6614	-210.256	0.0258295
24	15.0884	25.472	-201.352	0.0249933
25	13.1904	23.484	-197.38	0.0247098
26	12.8142	23.8936	-189.8	0.0238392
27	15.1317	24.0178	-180.596	0.0227373
28	15.1567	23.112	-171.37	0.0218474
29	15.5752	24.5824	-149.108	0.019535
30	14.8921	23.712	-138.94	0.0183679
31	13.4121	23.2346	-122.499	0.0162633
32	12.9843	23.527	-111.713	0.0148064
33	11.1857	23.7921	-115.087	0.0155067
34	12.8296	22.8827	-110.659	0.0148772
35	11.9603	22.8106	-110.027	0.015024
36	11.786	24.6879	-107.927	0.0149867
37	12.8091	25.5046	-104.628	0.0146543
38	12.7939	22.5178	-99.4131	0.0140937
39	12.2989	21.4201	-87.9381	0.0127778
40	12.3323	24.371	-85.1545	0.0124973
41	8.90842	24.8253	-88.2611	0.0129349
42	12.5747	22.7592	-85.542	0.0126555
43	8.98914	21.6256	-86.2455	0.0128204
44	12.1182	21.0949	-85.9296	0.0128177
45	12.5212	24.2603	-83.931	0.0125473
46	12.1359	20.2901	-76.9186	0.0116578
47	12.1125	22.7896	-73.8949	0.0113087
48	12.0428	22.3174	-70.9917	0.0110271
49	12.285	24.6393	-67.6972	0.01063
50	10.81	15.9913	-67.2067	0.0106146
51	12.2043	24.9424	-62.1233	0.00999442
52	8.94266	20.8655	-67.5191	0.0107285
53	11.8004	13.8989	-62.4156	0.0100953
54	11.6716	13.9881	-56.2509	0.0093549
55	11.5402	16.6068	-52.5115	0.00889167
56	8.58347	22.7166	-56.519	0.00944325
57	10.7112	21.1504	-52.7649	0.00897144
58	11.2525	21.4907	-48.2207	0.00839758
59	7.44636	14.1459	-53.0182	0.00905266
60	11.0049	16.873	-48.4563	0.00846869
61	10.1068	15.6273	-50.4553	0.00877098
62	9.40303	20.3992	-50.946	0.00888367
63	11.0924	22.0499	-49.762	0.00872355
64	7.79514	21.0613	-51.1898	0.0089633
65	10.2194	20.0332	-49.6005	0.00874603
66	7.40736	15.599	-51.0678	0.00898693
67	10.6411	19.6716	-49.8347	0.00882274
68	10.4731	12.7609	-46.9583	0.00843152
69	9.87078	12.3003	-42.2965	0.00781735
70	8.87017	13.171	-43.8025	0.00804713
71	9.62252	20.8261	-42.3282	0.00785669
72	7.81598	20.0407	-43.8971	0.00809612
73	8.39394	13.5586	-45.6193	0.00835157
74	9.46255	20.4366	-45.1442	0.00830553
75	9.9248	11.7768	-43.9656	0.00814391
76	8.76752	12.8695	-45.3612	0.00837509
77	7.62234	11.1675	-46.7486	0.00858958
78	8.39569	16.4219	-48.0606	0.00879842
79	8.34718	11.1209	-48.5364	0.00889394
80	7.14217	11.443	-48.52	0.00892549
81	7.73436	11.0405	-49.4694	0.00908139
82	6.08964	11.3422	-49.7748	0.009154
83	5.21846	10.9215	-50.5789	0.0093172
84	5.02733	10.7155	-51.6793	0.00952605
85	8.31058	11.3928	-50.8121	0.00940482
86	7.68213	10.899	-51.5185	0.00951638
87	8.6675	10.7426	-50.5207	0.00938295
88	8.08647	10.4525	-49.999	0.00932636
89	8.24406	11.0983	-49.5741	0.00929458
90	7.07622	10.4122	-50.1892	0.00940813
91	5.358	10.2118	-50.5722	0.00948777
92	8.18195	10.1009	-50.4183	0.00949748
93	7.91796	10.9596	-49.4571	0.00937899
94	5.34407	9.63398	-50.6474	0.00958855
95	5.42867	10.0914	-51.0323	0.00967129
96	7.27428	10.6123	-50.8764	0.00968138
97	5.53009	10.0814	-51.2624	0.00976574
98	6.08584	10.2141	-51.4813	0.00983797
99	5.77823	10.3024	-51.9035	0.00993993
100	7.39094	9.89336	-51.6551	0.00992623
101	5.31456	9.63923	-51.9544	0.0100153
102	8.21549	9.83242	-51.8853	0.0100257
103	7.40808	9.34353	-50.8594	0.00990857
104	3.65384	9.48101	-52.1155	0.0101273
105	6.77594	9.15906	-51.0854	0.0100077
106	8.28591	10.5804	-49.7689	0.00981521
107	6.82532	9.19586	-49.5956	0.00982103
108	4.17447	9.23503	-49.8625	0.00989559
109	5.17836	9.54843	-49.9399	0.00993422
110	6.82868	9.28908	-49.5736	0.00992002
111	5.63998	9.076	-49.21	0.00991105
112	4.28433	9.15763	-49.6372	0.0100004
113	5.92469	10.0881	-49.0082	0.00995496
114	5.12258	9.37013	-48.8058	0.00995728
115	6.66397	9.46672	-48.612	0.00989767
116	6.14124	9.35591	-48.3675	0.00982014
117	4.55073	9.67197	-48.2904	0.0098629
118	5.77099	8.89863	-48.0098	0.0098121
119	4.4668	9.17629	-47.8923	0.00982746
120	6.7499	9.07316	-47.5196	0.00977801
121	4.8413	9.01801	-47.3056	0.00975975
122	4.77277	8.99622	-46.8527	0.00970856
123	5.0946	9.05258	-46.5927	0.00968034
124	5.1892	9.68903	-46.3236	0.00965886
125	5.52861	9.49459	-45.9272	0.00961609
126	4.78225	9.55338	-45.6087	0.00959754
127	3.94584	9.06265	-45.8621	0.00966514
128	3.97098	9.22872	-45.8451	0.00969601
129	5.59659	9.27323	-45.8152	0.00971749
130	5.78996	9.54551	-45.637	0.00972087
131	7.71697	9.37429	-45.4678	0.00970345
132	5.79606	8.90948	-45.2775	0.00968343
133	5.96255	9.22603	-45.1337	0.0096887
134	5.16153	9.14648	-45.0734	0.00970848
135	7.63685	9.06812	-44.4251	0.00964144
136	6.76429	8.96451	-44.3088	0.00965964
137	4.89736	8.84002	-43.8273	0.00959195
138	6.0266	9.31896	-43.5863	0.00956343
139	4.03303	9.0256	-43.5885	0.0095937
140	7.3088	9.37647	-43.5565	0.00961603
141	7.62965	8.97228	-42.7701	0.00946353
142	5.14001	8.96828	-42.063	0.00936226
143	6.67546	8.81574	-41.9486	0.00936098
144	7.26352	8.9818	-41.7169	0.00933755
145	4.5714	9.22	-41.6434	0.00934879
146	6.39588	8.56428	-41.4035	0.00931174
147	6.3066	8.60421	-41.1161	0.00927677
148	4.89896	8.39991	-40.5706	0.00918217
149	5.56103	9.10625	-40.5775	0.00921278
150	6.18562	8.75174	-40.4471	0.00921789
151	7.09138	8.76251	-40.3652	0.00922423
152	6.4895	8.17285	-40.1392	0.00920797
153	6.58182	8.20779	-39.7519	0.00916148
154	6.81049	8.11104	-39.7203	0.00917676
155	6.7576	7.83046	-39.6666	0.00918276
156	6.14867	8.22731	-39.2883	0.00911095
157	6.34806	8.38195	-39.2545	0.00912941
158	5.03389	8.08939	-38.9339	0.00907075
159	6.57766	8.31489	-38.6466	0.0090381
160	5.94035	8.41058	-38.3942	0.00898638
161	4.47318	8.4942	-38.0546	0.00894163
162	4.26322	8.47269	-37.84	0.00893204
163	4.56362	8.37392	-37.663	0.0089039
164	6.93516	8.21497	-37.2403	0.00882265
165	3.97777	8.14641	-36.6655	0.0087316
166	3.58996	9.03355	-36.3018	0.0086561
167	5.65571	8.3784	-35.9201	0.00857713
168	5.07066	8.42047	-35.8451	0.00857571
169	3.52829	8.52546	-35.3353	0.0084905
170	5.24797	8.19556	-35.1687	0.00848092
171	7.05113	8.52309	-34.8945	0.00842312
172	2.76791	8.4009	-34.9195	0.00844265
173	3.47362	8.52915	-34.5487	0.00836037
174	3.38292	8.48711	-34.3385	0.0083244
175	4.44418	8.23837	-33.8779	0.00822133
176	3.85573	8.22403	-33.5148	0.00815821
177	3.75209	8.61583	-32.7716	0.00799703
178	4.76551	8.27642	-32.6342	0.00797229
179	3.75191	8.13151	-32.275	0.00792148
180	5.46605	8.28978	-31.9867	0.00786901
181	4.76158	8.34451	-31.6276	0.00783001
182	6.26586	8.89569	-31.2774	0.00776315
183	6.74391	8.39613	-30.7705	0.00767122
184	4.08132	8.40195	-30.1493	0.00752153
185	3.87954	8.54952	-30.0395	0.00752868
186	3.64052	8.13216	-29.4716	0.00748566
187	3.4824	8.26948	-28.859	0.00734983
188	3.56506	8.13127	-28.4409	0.00723999
189	6.37527	8.19921	-28.3344	0.00722435
190	3.6581	8.36509	-27.9172	0.007133
191	4.52596	8.46777	-27.4921	0.00706848
192	4.46885	8.25598	-27.0832	0.00700192
193	2.90301	8.30654	-26.8732	0.0069783
194	2.74602	8.18746	-26.8398	0.00699742
195	3.41262	8.2099	-26.5778	0.00697261
196	4.17366	7.88317	-26.1687	0.00690951
197	3.47117	7.66808	-25.9688	0.00689107
198	3.95148	7.89875	-25.6216	0.00682609
199	3.71043	7.78995	-25.1889	0.00673355
200	3.60279	8.22541	-25.0193	0.00670333
201	1.58564	8.12209	-25.0898	0.00673901
