Step	Best	Median	Predicted	Progress
0	46.9134	86.9411	0	0
1	0.631444	86.786	-23140.3	73.2955
2	29.4126	82.5138	-4345.79	0.258981
3	0.648894	82.2087	-6037.32	0.681353
4	0.62731	82.7598	-3860.14	0.632415
5	0.642865	84.6026	-10.1681	0.0323384
6	0.616557	81.0081	-7.47445	0.0246297
7	0.638791	82.7262	-3.4173	0.0125068
8	0.64407	81.4923	-1.05591	0.00523973
9	0.746389	82.0789	-0.216405	0.00265068
10	0.624399	80.5143	-0.631689	0.00393073
11	0.615087	81.2604	-0.873124	0.00468217
12	0.623477	80.729	-0.774972	0.00437795
13	0.616174	77.7986	-0.840096	0.00458218
14	0.642091	78.3403	-0.829009	0.00454831
15	0.616864	78.3564	-0.769424	0.00436306
16	0.621914	78.3763	-0.628036	0.00392186
17	0.624945	79.5855	-0.465346	0.00341259
18	0.620835	76.8949	-0.309486	0.00292632
19	0.623649	69.6333	-0.0740851	0.00219447
20	0.632956	77.8665	0.139645	0.0015285
21	0.625714	75.7642	0.333067	0.000921439
22	0.629819	55.1795	0.371953	0.000798111
23	0.619591	61.0174	0.391209	0.000736064
24	0.61191	68.8757	0.357503	0.000840446
25	0.612839	60.5883	0.319633	0.000956526
26	0.617896	56.9297	0.303934	0.00100348
27	0.611339	55.6614	0.225163	0.00124926
28	0.615744	66.5617	0.214306	0.00128136
29	0.622383	47.7907	0.223631	0.00125075
30	0.615117	61.7507	0.230003	0.00122948
31	0.615245	50.8407	0.250229	0.00116464
32	0.616438	42.5526	0.276793	0.00107979
33	0.616062	47.245	0.310625	0.000972557
34	0.615685	57.738	0.336857	0.000888775
35	0.618274	49.168	0.343789	0.000867122
36	0.610674	48.8733	0.33575	0.000889566
37	0.616687	48.3092	0.342709	0.000867874
38	0.616474	38.1211	0.345199	0.000860234
39	0.615654	51.8507	0.359395	0.000814531
40	0.61704	52.5383	0.3715	0.000775402
41	0.616989	51.0473	0.374999	0.000763487
42	0.615052	51.6036	0.378955	0.000750484
43	0.617358	56.5536	0.408779	0.000659024
44	0.615248	32.5649	0.415102	0.000638373
45	0.614419	47.4415	0.428283	0.000596548
46	0.615599	49.9692	0.442055	0.000552376
47	0.614424	43.5489	0.453545	0.000515438
48	0.61459	46.068	0.465079	0.000478478
49	0.613033	18.1759	0.469526	0.000463611
50	0.613194	36.3765	0.473675	0.000450038
51	0.610393	19.0738	0.466756	0.000470725
52	0.612524	0.803981	0.471071	0.000456476
53	0.6078	3.71772	0.460213	0.000489615
54	0.608021	54.4329	0.450862	0.000517798
55	0.611863	9.43707	0.459233	0.000491021
56	0.612415	33.5838	0.467158	0.000465519
57	0.608752	0.61826	0.458323	0.000492201
58	0.612127	36.1303	0.466685	0.000465418
59	0.610724	47.825	0.465211	0.000469323
60	0.609551	11.2382	0.461131	0.000481058
61	0.610899	31.7951	0.464993	0.000468416
62	0.608795	11.5291	0.462552	0.000475022
63	0.610089	29.923	0.462135	0.000475708
64	0.611666	60.2723	0.46552	0.000464497
65	0.609673	9.99121	0.471026	0.00044679
66	0.609155	51.8817	0.470922	0.000446363
67	0.608909	30.023	0.471186	0.000444811
68	0.608539	14.7447	0.472179	0.000440993
69	0.610976	48.8042	0.472836	0.000438432
70	0.61003	10.8427	0.476251	0.00042725
71	0.61114	40.3156	0.477432	0.000422801
72	0.610739	0.673299	0.478205	0.000419756
73	0.611943	0.636565	0.478991	0.000416724
