Step	Best	Median	Predicted	Progress
0	84.1693	94.5533	0	0
1	81.7799	93.2334	-1112.93	0.0292177
2	78.4284	92.7145	-1356.8	0.0359419
3	71.205	92.526	-1601.15	0.0429968
4	62.3972	91.6349	-2577.79	0.071598
5	69.7117	91.0705	-1607.85	0.0449286
6	74.4873	92.393	-1498.34	0.0424288
7	69.9267	92.2984	-1380.03	0.0397605
8	70.5988	91.067	-779.905	0.0228651
9	72.7568	92.4603	-195.146	0.00724894
10	70.8536	88.6242	-168.802	0.00656495
11	80.8608	89.8783	86.4399	-0.000397769
12	71.8505	91.206	60.9818	0.000302034
13	69.3962	90.6703	-49.877	0.00333931
14	70.4018	90.9206	-75.5859	0.00403841
15	70.5632	89.1749	11.8748	0.00164363
16	72.9394	91.8272	23.9771	0.00130658
17	68.0568	90.3838	11.6406	0.00164634
18	71.6159	89.0009	23.7911	0.00130829
19	65.1715	90.5711	11.4065	0.00164905
20	61.1297	90.2235	-77.3378	0.00408793
21	70.5322	89.1908	-36.3922	0.0029627
22	72.4723	88.5892	21.3176	0.00136992
23	75.8033	88.9045	33.6728	0.00102865
24	66.0787	88.7524	21.1233	0.0013718
25	54.593	89.7778	-37.4464	0.00298614
26	62.617	87.2991	-92.5281	0.0045099
27	59.2631	85.7978	-153.192	0.00618989
28	64.0939	88.5168	-161.193	0.00642057
29	66.5414	88.8337	-154.064	0.00622845
30	55.2438	87.8879	-162.094	0.00646206
31	65.9429	89.1236	-158.237	0.00635842
32	65.0937	86.9814	-139.595	0.00584248
33	64.2154	88.6417	-121.671	0.00532873
34	67.3061	87.4441	-116.662	0.00517852
35	65.7248	86.6992	-105.744	0.00488048
36	70.7734	86.3209	-88.7538	0.00441024
37	69.1481	88.0533	-73.588	0.0039853
38	63.5	86.0169	-85.1672	0.00430915
39	65.4257	87.7744	-72.9003	0.00396676
40	69.1977	86.6979	-66.2663	0.00378131
41	63.8874	85.8572	-68.9924	0.00385648
42	65.4848	85.4776	-64.7218	0.00373696
43	63.9816	84.3653	-56.9267	0.00351522
44	68.0238	86.2687	-49.5514	0.0033051
45	66.1249	88.4227	-46.7898	0.00322649
46	68.776	85.0495	-38.7375	0.00300266
47	60.8203	81.4961	-39.4165	0.00302068
48	63.7711	80.8794	-34.6811	0.00288433
49	70.3979	85.2498	-31.6433	0.00279587
50	62.2808	83.1624	-29.8074	0.00274303
51	67.4886	84.4957	-26.8154	0.00265866
52	63.2202	86.5024	-21.6215	0.00251208
53	63.3807	81.7547	-19.9042	0.00246232
54	62.6694	86.6903	-20.7391	0.00248431
55	60.7978	84.5753	-22.4338	0.00253056
56	69.1469	84.6875	-21.0736	0.0024905
57	66.0821	84.4953	-20.1208	0.00246183
58	67.2609	84.07	-14.475	0.00230024
59	66.277	88.5425	-13.303	0.00226472
60	58.1579	81.6897	-14.7838	0.00230555
61	59.9568	76.028	-18.4402	0.0024076
62	63.3284	84.9925	-15.0926	0.00231087
63	63.1461	80.1639	-13.9116	0.00227502
64	65.4502	84.5384	-11.8895	0.00221588
65	66.5051	85.227	-9.70252	0.00215215
66	64.9914	82.4248	-5.28313	0.00202573
67	62.4131	81.8517	-4.639	0.002006
68	66.4141	81.7866	-1.79454	0.00192472
69	62.5073	81.7689	-1.68967	0.00192
70	65.4024	81.767	1.3829	0.00183209
71	64.3213	80.5654	2.93594	0.00178708
72	64.0804	73.7989	6.85448	0.00167644
73	61.457	80.8152	6.03837	0.00169708
74	65.5406	83.0664	7.46139	0.0016561
75	52.4138	81.1044	5.81157	0.00169996
76	65.758	78.6764	7.23974	0.00165885
77	64.0555	74.3637	8.82305	0.00161312
78	65.4893	78.4288	9.39796	0.00159544
79	63.6625	74.4314	12.1644	0.00151853
