Step	Best	Median	Predicted	Progress
0	74.8128	91.0816	0	0
1	0.752691	84.3779	-37029.3	98.3935
2	65.8622	87.7157	-2171.79	0.0657169
3	54.9707	88.6941	-2715.76	0.0892583
4	0.606832	84.4744	-4336.58	0.165362
5	45.8051	87.0431	-3265.27	0.120319
6	0.613144	83.0425	-4372.21	0.199501
7	0.602729	83.0846	-5300.12	0.327134
8	0.601864	85.9461	-3098.03	0.278
9	0.603799	84.1957	-12.6362	0.0380372
10	0.614094	83.2615	-8.99631	0.0285629
11	0.605957	84.4857	-4.60233	0.015854
12	0.610721	85.7486	-2.3432	0.0092814
13	0.612566	81.4021	-0.171666	0.00252467
14	0.605689	77.1331	-0.340431	0.00306046
15	0.603334	73.9009	-0.510587	0.00359934
16	0.606873	80.1186	-0.344219	0.00306985
17	0.604535	75.6834	-0.177914	0.00253748
18	0.599456	77.8663	-0.26088	0.00280084
19	0.601996	76.4264	-0.038633	0.00208837
20	0.606323	81.0629	-0.0201682	0.00202733
21	0.602197	75.9016	0.0555816	0.00178254
22	0.60243	79.7916	0.126861	0.00155224
23	0.601243	79.0382	0.220675	0.00124821
24	0.603026	77.7834	0.28903	0.0010262
25	0.601035	67.0194	0.326317	0.000904007
26	0.603859	74.7322	0.341278	0.000854168
27	0.603576	64.5236	0.355484	0.000807987
28	0.600119	76.2692	0.359054	0.000794771
29	0.602228	66.0831	0.388785	0.000697819
30	0.603023	74.3	0.400803	0.000659028
31	0.608962	73.1816	0.406184	0.000641334
32	0.603532	37.8297	0.429456	0.000566315
33	0.605337	73.6448	0.453479	0.00048812
34	0.602963	72.471	0.462743	0.000458216
35	0.603662	79.9607	0.480301	0.00040065
36	0.599991	52.332	0.493476	0.000357288
37	0.603778	0.621957	0.510181	0.000302665
38	0.60466	45.9187	0.52099	0.000267262
39	0.601049	72.0481	0.523669	0.000258222
40	0.603868	50.2986	0.531754	0.000232011
41	0.606785	46.253	0.54092	0.000202943
42	0.602172	46.3301	0.548097	0.000179761
43	0.601693	13.2936	0.548245	0.000178533
44	0.599064	0.696741	0.542101	0.00019795
45	0.603932	0.623416	0.550119	0.000171816
46	0.600894	0.615147	0.541862	0.000197989
47	0.596671	0.622172	0.538108	0.00020934
48	0.598533	54.8535	0.535419	0.000217291
49	0.598629	37.7096	0.528603	0.000238149
50	0.597402	7.02881	0.520768	0.000262366
51	0.596388	8.78485	0.510272	0.000294898
52	0.59755	47.3125	0.506945	0.0003049
53	0.599278	0.616461	0.507844	0.000301527
54	0.60018	0.620638	0.515487	0.000276974
55	0.599615	59.9052	0.515978	0.000274968
56	0.597985	58.7642	0.511941	0.000287119
57	0.596682	0.613693	0.510093	0.000292369
58	0.597198	0.613974	0.507807	0.000299002
59	0.599766	0.616059	0.50974	0.000292455
60	0.599493	24.1942	0.511248	0.000287284
61	0.596663	0.625075	0.50362	0.000310521
62	0.594358	13.358	0.50059	0.000319386
63	0.598427	0.612348	0.502185	0.000313914
64	0.595282	0.615621	0.498329	0.000325388
65	0.59216	1.08644	0.493749	0.000339019
66	0.594734	0.614739	0.491496	0.000345471
67	0.59474	0.620267	0.491058	0.00034624
68	0.598794	12.0648	0.491858	0.000343181
69	0.596204	0.609135	0.492762	0.000339785
70	0.597855	0.624961	0.493805	0.000336023
71	0.595059	0.608595	0.494706	0.000332726
72	0.59681	45.3434	0.497145	0.000324738
73	0.596464	0.623901	0.497519	0.000322957
74	0.594863	0.611382	0.49728	0.000323167
75	0.59485	0.611365	0.499472	0.000315974
76	0.593426	0.608954	0.498347	0.000318783
77	0.596168	0.608375	0.500121	0.000312947
78	0.593257	0.607787	0.498699	0.000316647
79	0.595551	0.612652	0.49978	0.000312938
80	0.593548	29.3668	0.499327	0.000313684
81	0.594684	0.607379	0.500919	0.000308336
82	0.594134	0.60472	0.501632	0.000305674
83	0.593876	0.607643	0.502159	0.000303621
84	0.593796	0.604055	0.503474	0.000299134
85	0.592647	0.604577	0.50295	0.000300195
86	0.592636	0.616774	0.502321	0.000301575
87	0.591814	0.636248	0.501141	0.000304624
88	0.594395	0.604194	0.502772	0.000299226
89	0.594021	0.601698	0.503221	0.000297412
90	0.59346	0.60062	0.503873	0.000295007
91	0.594086	0.608511	0.504604	0.000292351
92	0.593897	0.601304	0.505693	0.000288645
93	0.593927	0.630534	0.506318	0.000286277
94	0.59424	0.600792	0.50705	0.000283483
95	0.592252	0.604781	0.50771	0.000281125
96	0.593853	0.601446	0.508208	0.000279232
97	0.594003	0.603521	0.509317	0.000275525
98	0.591899	0.600442	0.509581	0.000274351
99	0.592459	0.599398	0.50974	0.000273415
100	0.592809	0.613272	0.510294	0.000271269
101	0.593196	0.599634	0.510639	0.000269794
102	0.591521	0.600021	0.511246	0.000267605
103	0.593175	0.600462	0.511635	0.000266007
104	0.593254	0.599534	0.512602	0.000262632
105	0.59298	0.598709	0.512984	0.000261183
106	0.591183	0.599708	0.513356	0.000259701
107	0.593363	0.601551	0.514086	0.000257191
108	0.592784	0.597717	0.514683	0.000255037
109	0.592929	0.665564	0.515491	0.00025208
110	0.593484	0.63432	0.515902	0.000250417
111	0.59262	0.601349	0.516057	0.000249576
112	0.591605	0.596237	0.516325	0.000248508
113	0.592124	0.598477	0.516728	0.000246994
114	0.592028	0.596473	0.517702	0.000243693
115	0.593039	0.598083	0.518692	0.000240196
116	0.593007	0.603846	0.519605	0.00023696
117	0.59281	0.598313	0.520724	0.000233118
118	0.589893	0.611001	0.520775	0.000232443
119	0.592808	0.704234	0.520954	0.000231595
120	0.592155	0.596586	0.521301	0.000230266
121	0.592539	0.612403	0.521808	0.000228315
122	0.59114	0.597073	0.522609	0.000225517
123	0.592617	0.608472	0.523529	0.000222379
124	0.591567	0.599927	0.523893	0.000220921
125	0.59216	0.598876	0.524528	0.00021863
126	0.59276	3.84741	0.524855	0.000217246
127	0.592065	0.596545	0.52507	0.000216407
128	0.592284	0.596552	0.525514	0.000214804
129	0.592629	0.682634	0.526016	0.000212915
130	0.592611	0.602964	0.526871	0.000210213
131	0.592488	0.770947	0.527359	0.000208444
132	0.590982	0.595854	0.528089	0.000205862
133	0.592542	0.609059	0.528841	0.000203356
134	0.592381	0.598046	0.529537	0.00020102
135	0.592198	0.595822	0.529813	0.000199816
136	0.592139	0.616159	0.530073	0.000198688
137	0.59172	0.596312	0.530418	0.000197351
138	0.592482	0.613615	0.53082	0.000195742
139	0.591746	0.597051	0.531449	0.000193436
140	0.592901	0.595925	0.531593	0.000192663
141	0.592781	0.598019	0.532312	0.000190319
142	0.591683	0.599793	0.533632	0.000186195
143	0.592169	0.607474	0.533712	0.000185718
144	0.592844	0.60099	0.533933	0.000184821
145	0.592285	0.597608	0.534394	0.000183424
146	0.59235	0.596543	0.534594	0.00018263
147	0.591471	0.597966	0.534891	0.000181466
148	0.592475	0.601606	0.536983	0.000175164
149	0.593014	0.644236	0.537824	0.00017264
150	0.591971	0.598851	0.538469	0.000170619
151	0.592219	0.597722	0.538468	0.000170354
152	0.591051	0.595691	0.539794	0.000166123
153	0.592642	3.48975	0.539898	0.000165602
154	0.591364	0.599982	0.539984	0.000165141
155	0.591817	0.608644	0.540091	0.000164552
156	0.592606	0.59786	0.541634	0.000159495
157	0.592486	0.596701	0.543165	0.000154635
158	0.591974	0.599379	0.543515	0.000153335
159	0.592252	0.599503	0.543703	0.000152607
160	0.591685	0.595707	0.544471	0.000150324
161	0.591207	0.596228	0.545009	0.000148547
162	0.592657	0.673384	0.545719	0.000146225
163	0.59331	0.596562	0.546544	0.000143792
164	0.592064	0.632799	0.547619	0.000140647
165	0.592931	0.598243	0.548416	0.000138055
166	0.592274	0.596179	0.548765	0.000136868
167	0.591256	0.594762	0.549345	0.00013501
168	0.592037	0.67542	0.550212	0.000132132
169	0.592098	0.6072	0.550227	0.00013189
170	0.591172	0.594522	0.550504	0.000130813
171	0.592432	0.594726	0.551753	0.00012678
172	0.592548	0.594429	0.552328	0.00012493
173	0.591906	0.596312	0.55288	0.000123081
174	0.5925	0.594528	0.553552	0.000120982
175	0.591969	0.595844	0.554805	0.000117504
176	0.591964	0.594519	0.556213	0.000113147
177	0.591478	0.601335	0.556759	0.000111446
178	0.591081	0.594669	0.557233	0.000110029
179	0.590937	0.59551	0.558011	0.000107708
180	0.59149	0.594858	0.558552	0.000105844
181	0.591991	0.604889	0.55894	0.000104628
182	0.591798	0.594214	0.559222	0.000103749
183	0.59205	0.608707	0.559434	0.000102933
184	0.591696	0.594396	0.559868	0.000101406
185	0.591693	0.594339	0.560399	9.98277e-05
186	0.591539	0.604939	0.560591	9.91704e-05
187	0.591541	0.594315	0.561142	9.73155e-05
188	0.589895	0.593631	0.561411	9.62941e-05
189	0.59213	0.61432	0.561992	9.43266e-05
190	0.590917	0.618122	0.562586	9.23505e-05
191	0.59203	0.594413	0.562979	9.10315e-05
192	0.591179	0.59488	0.563569	8.92731e-05
193	0.590949	0.594836	0.564185	8.73192e-05
194	0.59099	0.593807	0.56448	8.63215e-05
195	0.591373	0.594354	0.564749	8.54967e-05
196	0.591	0.593794	0.565359	8.36364e-05
197	0.592262	0.614034	0.566347	8.07419e-05
198	0.591099	0.598065	0.567122	7.84912e-05
199	0.591398	0.59491	0.567474	7.72649e-05
200	0.591942	0.595806	0.567617	7.66814e-05
201	0.591599	0.62465	0.567785	7.60456e-05
202	0.591366	0.593335	0.567994	7.52622e-05
203	0.591006	0.597529	0.568378	7.41081e-05
204	0.589613	0.647003	0.568654	7.31861e-05
205	0.591749	0.612333	0.568943	7.21933e-05
206	0.590139	0.593499	0.569039	7.17641e-05
207	0.591069	0.593168	0.569252	7.09863e-05
208	0.59139	0.593774	0.56949	7.01825e-05
209	0.591435	0.594391	0.569973	6.85895e-05
210	0.591499	0.593182	0.570197	6.7776e-05
211	0.591484	0.593318	0.571061	6.50902e-05
212	0.591665	0.593623	0.571325	6.41544e-05
213	0.590876	0.592798	0.571546	6.34157e-05
214	0.590782	0.593445	0.571686	6.28816e-05
215	0.590063	0.593105	0.571715	6.26659e-05
216	0.591151	0.606469	0.571948	6.18501e-05
217	0.590837	0.59348	0.572111	6.13549e-05
218	0.59148	0.633788	0.572312	6.07385e-05
219	0.591939	0.593833	0.572423	6.03254e-05
220	0.591467	0.592812	0.572692	5.93974e-05
221	0.591586	0.593767	0.57282	5.89127e-05
222	0.591521	0.621125	0.572957	5.84281e-05
223	0.591264	0.592711	0.57305	5.80608e-05
224	0.591578	0.593138	0.573077	5.78752e-05
225	0.591668	0.592907	0.573179	5.74799e-05
226	0.591283	0.592821	0.573398	5.67279e-05
227	0.591832	0.598351	0.573501	5.63248e-05
228	0.591566	0.593066	0.573738	5.55282e-05
229	0.591681	0.593244	0.574083	5.44077e-05
230	0.590674	0.593151	0.574505	5.30502e-05
231	0.591065	0.593225	0.574788	5.21031e-05
232	0.591109	0.613375	0.574913	5.1622e-05
233	0.591151	0.59539	0.575158	5.07936e-05
234	0.591349	0.610599	0.575446	4.98615e-05
235	0.591406	0.59895	0.57558	4.93912e-05
236	0.591076	0.593086	0.575824	4.85726e-05
237	0.591516	0.592787	0.575878	4.83405e-05
238	0.591583	0.59306	0.575992	4.79471e-05
239	0.591372	0.593146	0.575975	4.79187e-05
240	0.591858	0.59305	0.576101	4.74982e-05
241	0.590971	0.592676	0.576184	4.72193e-05
242	0.591075	0.59278	0.576461	4.64174e-05
243	0.591602	0.592947	0.576591	4.60145e-05
244	0.591682	0.592575	0.576808	4.54024e-05
245	0.590935	0.592904	0.5769	4.50726e-05
246	0.591273	0.593105	0.576947	4.48611e-05
247	0.591279	0.592686	0.576965	4.47722e-05
248	0.591193	0.649225	0.577292	4.38882e-05
249	0.591021	0.592597	0.577351	4.36728e-05
250	0.591363	0.592662	0.577495	4.31957e-05
251	0.590708	0.593002	0.577582	4.2884e-05
252	0.590703	0.592612	0.577697	4.25038e-05
253	0.591216	0.592536	0.577759	4.22463e-05
254	0.591277	0.594615	0.577826	4.19762e-05
255	0.591123	0.600027	0.57799	4.14671e-05
256	0.59139	0.593603	0.578107	4.10907e-05
257	0.59139	0.592438	0.578397	4.03261e-05
258	0.591299	0.600651	0.578429	4.01933e-05
259	0.59142	0.594994	0.578544	3.97974e-05
260	0.591172	0.59229	0.578711	3.92959e-05
261	0.590699	0.629726	0.578759	3.91086e-05
262	0.591163	0.624148	0.57888	3.86961e-05
263	0.591535	0.593153	0.57899	3.83163e-05
264	0.59136	0.592245	0.579117	3.79071e-05
265	0.591166	0.592621	0.579168	3.77306e-05
266	0.590541	0.592518	0.579338	3.7167e-05
267	0.590441	0.599413	0.579351	3.70839e-05
268	0.590919	0.59245	0.57951	3.65682e-05
269	0.591094	0.628446	0.579697	3.5978e-05
270	0.590855	0.592663	0.57972	3.58487e-05
271	0.591112	0.642814	0.579785	3.55868e-05
272	0.591041	0.631535	0.579941	3.50633e-05
273	0.590269	0.592324	0.579902	3.51186e-05
274	0.591373	0.592332	0.580107	3.44808e-05
275	0.591255	0.601233	0.580151	3.4294e-05
276	0.590808	0.592163	0.580207	3.40701e-05
277	0.590616	0.595193	0.580257	3.38755e-05
278	0.591205	0.592581	0.580287	3.37314e-05
279	0.590814	0.592137	0.580289	3.36721e-05
280	0.590935	0.592459	0.580288	3.36246e-05
281	0.590881	0.59808	0.58034	3.34178e-05
282	0.590759	0.592448	0.580423	3.31377e-05
283	0.590924	0.592424	0.580467	3.2958e-05
284	0.590621	0.613579	0.580597	3.25718e-05
285	0.590605	0.609038	0.580666	3.23214e-05
286	0.590584	0.618399	0.580706	3.21721e-05
287	0.591167	0.628753	0.580733	3.20609e-05
288	0.590743	0.613024	0.580742	3.19945e-05
289	0.591508	0.6013	0.580974	3.13748e-05
290	0.590359	0.592934	0.580972	3.13266e-05
291	0.591336	0.592371	0.581006	3.1188e-05
292	0.590906	0.605356	0.581062	3.09935e-05
293	0.591132	0.592373	0.581149	3.07493e-05
294	0.590839	0.592052	0.58136	3.01148e-05
295	0.591575	0.592403	0.581487	2.97005e-05
296	0.59072	0.592181	0.581525	2.95455e-05
297	0.590988	0.592661	0.581644	2.92061e-05
298	0.591184	0.592824	0.581782	2.88214e-05
299	0.591253	0.597639	0.581836	2.8632e-05
300	0.590944	0.592183	0.581843	2.85685e-05
301	0.591545	0.605835	0.581905	2.83564e-05
302	0.591074	0.604559	0.58203	2.79654e-05
303	0.590659	0.592184	0.582064	2.78071e-05
304	0.591181	0.592063	0.582071	2.7738e-05
305	0.591104	0.592146	0.582089	2.76359e-05
306	0.591591	0.592248	0.582106	2.75354e-05
