Step	Best	Median	Predicted	Progress
0	59.0944	91.4426	0	0
1	9.71138	87.3642	-24681.8	5.08506
2	0.600536	85.5553	-14622.9	1.92111
3	0.606082	85.3985	-4559.38	1.7661
4	0.600156	85.7092	-2281.71	1.57967
5	0.604792	89.2905	-2.36364	0.0096936
6	0.601317	85.1588	-0.92781	0.00502207
7	0.596949	84.0549	-1.14011	0.00571717
8	0.600965	84.5048	-0.591126	0.00392703
9	0.603575	80.1477	-0.117789	0.00237106
10	0.599525	77.2147	0.0898468	0.00168708
11	0.599765	80.2541	0.307575	0.000969156
12	0.601291	78.7831	0.409873	0.000630308
13	0.59457	71.2915	0.306957	0.000968288
14	0.599077	81.237	0.319573	0.000925758
15	0.598742	82.9415	0.387248	0.000702178
16	0.599377	75.1425	0.447351	0.000503119
17	0.595077	71.7625	0.406377	0.000636992
18	0.593482	77.705	0.338018	0.00085967
19	0.599787	75.7289	0.405611	0.000637398
20	0.59395	60.759	0.343882	0.00083784
21	0.599894	38.5815	0.404846	0.000637804
22	0.600803	69.1312	0.445537	0.000503879
23	0.596107	0.63449	0.437471	0.000529374
24	0.596762	53.4399	0.44518	0.000503327
25	0.595018	0.627053	0.436836	0.000529654
26	0.599803	56.1423	0.444576	0.00050358
27	0.596915	60.2539	0.453974	0.000472378
28	0.597793	67.6203	0.467868	0.000426812
29	0.595637	76.8812	0.47612	0.000399302
30	0.595827	67.3517	0.480565	0.000384632
31	0.598784	51.6328	0.482026	0.000379257
32	0.599123	0.612817	0.484265	0.000371519
33	0.59847	72.8475	0.485403	0.000367372
34	0.595106	52.7853	0.491105	0.000348472
35	0.594696	0.607896	0.493742	0.000338678
36	0.592136	47.3532	0.490339	0.000348796
37	0.597109	63.7662	0.494528	0.000334942
38	0.596113	0.61965	0.496629	0.000327973
39	0.59668	58.3893	0.499339	0.000319051
40	0.596498	0.611333	0.513299	0.000274406
41	0.594631	0.610364	0.511289	0.000279718
42	0.594001	27.4148	0.509159	0.000285351
43	0.594378	0.607334	0.508387	0.000287472
44	0.592435	0.606643	0.505726	0.000295615
45	0.5952	41.2913	0.505961	0.00029444
46	0.592801	0.607568	0.503167	0.000302971
47	0.596038	60.2743	0.505609	0.000294526
48	0.59456	6.65021	0.509731	0.000280605
49	0.594616	17.6759	0.511841	0.000274105
50	0.593556	53.9047	0.512631	0.00027087
51	0.595602	12.7434	0.514753	0.000264059
52	0.5954	31.1224	0.515607	0.000261464
53	0.595208	0.603048	0.516416	0.000258659
54	0.595858	0.627054	0.518003	0.00025315
55	0.592841	0.6022	0.517602	0.000253945
56	0.595706	32.0774	0.519072	0.000248883
57	0.594087	0.604952	0.519918	0.000245784
58	0.5949	35.9849	0.522098	0.000238488
59	0.594531	0.602179	0.528278	0.000218228
60	0.595526	12.6401	0.530061	0.000212569
61	0.594282	6.17986	0.53036	0.000211467
62	0.59537	43.7812	0.532346	0.000204867
63	0.597104	0.60885	0.535073	0.000196235
64	0.59388	0.613665	0.539503	0.000182075
65	0.594563	6.30223	0.540119	0.000179816
66	0.59487	0.601935	0.540621	0.000177928
67	0.594297	0.718815	0.541039	0.000176331
68	0.595047	0.602286	0.54136	0.00017502
69	0.596491	31.1151	0.541917	0.000172979
70	0.595232	0.612015	0.545607	0.000161248
71	0.593573	0.603657	0.548266	0.000152467
72	0.596123	0.632794	0.549664	0.00014778
73	0.595185	0.600813	0.553667	0.000134923
74	0.593489	0.602332	0.553076	0.000136566
75	0.593838	0.609241	0.554211	0.000132673
76	0.594724	0.602733	0.556175	0.000126095
77	0.594889	0.60106	0.55761	0.000121457
78	0.593794	0.603491	0.557911	0.000120299
79	0.594603	0.603699	0.560149	0.000113072
80	0.593452	0.602773	0.560762	0.000110949
81	0.594534	12.2811	0.561451	0.000108605
82	0.590905	0.60051	0.560728	0.000110658
83	0.593641	0.599449	0.561802	0.000106956
84	0.593236	12.3149	0.56056	0.000110727
85	0.595543	0.602127	0.562309	0.000104924
86	0.591178	0.602051	0.560428	0.000110739
87	0.591234	36.815	0.560138	0.000111237
88	0.595272	0.601619	0.560791	0.000109114
89	0.592361	0.601096	0.560244	0.000110486
90	0.593417	0.601489	0.560661	0.000109126
91	0.592914	0.601319	0.561141	0.000107211
92	0.593063	0.602006	0.561539	0.000105796
