Step	Best	Median	Predicted	Progress
0	0.610687	90.3432	0	0
1	0.59536	85.8577	-7.06858	0.0257456
2	0.614787	86.3137	1.63961	-0.0033395
3	0.60283	87.5657	0.463993	0.000469286
4	0.605909	84.8869	0.720847	-0.000379605
5	0.614779	90.4643	2.15126	-0.00508276
6	0.60666	89.7444	1.47296	-0.00285465
7	0.599297	86.5021	0.532104	0.000243671
8	0.601755	82.0702	0.0629435	0.00177965
9	0.611563	87.3003	0.43653	0.000555541
10	0.604909	83.0959	0.403303	0.000664574
11	0.619026	87.498	0.563495	0.000139499
12	0.61082	81.3287	0.78336	-0.000575458
13	0.603711	86.4047	0.801077	-0.000631657
14	0.60999	81.1323	0.805757	-0.000645268
15	0.608584	83.6849	0.736526	-0.000420681
16	0.606319	80.5557	0.652458	-0.000147968
17	0.60668	66.4194	0.598473	2.67286e-05
18	0.607068	77.5299	0.615801	-2.94245e-05
19	0.609785	77.3392	0.64287	-0.000117051
20	0.611028	82.3377	0.697279	-0.00029023
21	0.5999	81.4669	0.643012	-0.000117038
22	0.604515	71.6763	0.615872	-2.94227e-05
23	0.602202	79.2904	0.598375	2.67308e-05
24	0.602994	69.7697	0.528281	0.000253137
25	0.599533	76.7486	0.465324	0.000455983
26	0.596784	77.7794	0.431432	0.000563415
27	0.600915	73.9215	0.372271	0.000753904
28	0.596283	79.1577	0.354938	0.000808779
29	0.596007	55.0177	0.339267	0.000857408
30	0.600247	76.6334	0.34384	0.000841875
31	0.598985	67.974	0.349688	0.000821938
32	0.598208	47.2064	0.336119	0.000864505
33	0.597462	65.7473	0.326852	0.000893106
34	0.597075	68.651	0.327118	0.000890972
35	0.606768	61.0435	0.34171	0.000842342
36	0.598304	58.7439	0.351593	0.000809526
37	0.592157	73.6327	0.345139	0.000828772
38	0.602939	72.9788	0.352761	0.000803271
39	0.601216	70.7448	0.362238	0.000771508
40	0.599667	59.1716	0.378663	0.000717603
41	0.597182	65.5089	0.394858	0.000665038
42	0.597653	43.908	0.398469	0.000652917
43	0.594996	72.9091	0.401388	0.00064225
44	0.597963	60.1591	0.413123	0.000603761
