Step	Best	Median	Predicted	Progress
0	0.610687	90.3432	0	0
1	0.619067	86.824	4.80868	-0.0135352
2	0.596827	86.8069	-2.86821	0.0115445
3	0.604493	86.8214	-1.64788	0.0074296
4	0.618551	86.252	0.796076	-0.000601424
5	49.332	87.8756	4.47049	-0.0123187
6	0.609869	87.3588	2.99247	-0.00767449
7	0.613578	84.1013	1.21099	-0.00194115
8	0.606664	84.5755	0.680953	-0.000226264
9	0.616608	85.9988	0.820905	-0.000674009
10	0.611272	82.5271	0.640599	-9.59902e-05
11	0.615094	83.319	0.797289	-0.000595128
12	0.614755	83.5027	0.758356	-0.000468384
13	0.604743	83.3258	0.687007	-0.000239869
14	0.615927	83.8526	0.758038	-0.000465262
15	0.607608	79.3366	0.706814	-0.000301984
16	0.614162	83.1645	0.684647	-0.000229931
17	0.606543	79.895	0.589559	7.343e-05
18	0.601666	73.2483	0.454505	0.000504718
19	0.602116	79.7369	0.385972	0.000722637
20	0.60305	76.1859	0.336761	0.000879213
21	0.600067	73.6577	0.26613	0.00110597
22	0.596738	81.7006	0.226884	0.00123046
23	0.600711	75.575	0.216691	0.00126117
24	0.602799	78.3385	0.221936	0.00124301
25	0.600464	61.4797	0.22423	0.00123405
26	0.597967	70.2639	0.194851	0.00132628
27	0.596926	79.0032	0.17565	0.00138625
28	0.59919	56.8247	0.199254	0.00130881
29	0.59748	73.1904	0.196485	0.001316
30	0.598267	54.0961	0.227014	0.00121701
31	0.595814	0.632415	0.228338	0.00121115
32	0.595147	56.5001	0.228657	0.00120852
33	0.595545	44.4221	0.227955	0.00120916
34	0.600482	69.116	0.243466	0.00115791
35	0.599275	57.8564	0.273437	0.00106012
36	0.598643	0.622782	0.283859	0.00102502
37	0.596935	0.618003	0.294054	0.000991144
38	0.596445	17.0332	0.315145	0.000922221
39	0.599714	48.7078	0.333951	0.000860409
40	0.597719	53.0059	0.340174	0.000839141
41	0.59597	0.619522	0.355628	0.000789806
42	0.597473	0.631179	0.362107	0.00076935
43	0.600557	10.0614	0.369862	0.000743353
44	0.59762	0.641901	0.377815	0.000716492
45	0.598213	0.618443	0.385578	0.000690746
46	0.594973	0.616775	0.396597	0.00065502
47	0.595296	0.612069	0.400635	0.00064137
48	0.596285	14.2129	0.412558	0.000602831
49	0.597844	0.627771	0.418969	0.000581267
50	0.591903	0.608622	0.425091	0.000560705
51	0.596293	0.616771	0.431148	0.000540908
52	0.595161	0.612542	0.436566	0.000522829
53	0.595922	0.620355	0.441652	0.000505671
54	0.594936	0.63099	0.446525	0.000489318
55	0.594536	22.3789	0.453502	0.000466454
56	0.597281	0.617893	0.461862	0.000439482
57	0.593188	31.0768	0.468037	0.000418682
58	0.595412	0.606805	0.471102	0.000408272
59	0.598366	0.605591	0.47279	0.000402361
60	0.59641	0.60565	0.477125	0.000387785
61	0.593089	0.617244	0.479174	0.000380427
62	0.594166	0.608033	0.478433	0.000382167
63	0.593037	0.620795	0.482447	0.000368757
64	0.595022	0.606877	0.48368	0.000364303
65	0.592013	0.604328	0.484484	0.000360929
66	0.596091	62.4617	0.487031	0.000352543
67	0.596433	0.607253	0.488693	0.00034701
68	0.593098	0.608614	0.489161	0.000345209
69	0.595192	0.60639	0.490082	0.000341835
70	0.594293	0.607035	0.492776	0.000332764
71	0.592865	0.606937	0.495692	0.000322873
72	0.594514	10.6433	0.496145	0.000320863
73	0.594739	0.604255	0.498662	0.000312294
74	0.591402	0.605405	0.496123	0.000319814
75	0.594328	0.60691	0.498536	0.000311601
76	0.595505	0.635388	0.500859	0.000303832
77	0.595182	0.60343	0.502074	0.00029958
78	0.593456	0.606473	0.5041	0.000292867
79	0.594713	0.603147	0.506398	0.000285385
80	0.595886	0.604643	0.507184	0.000282466
81	0.593293	0.603654	0.508466	0.000278223
82	0.593431	0.612625	0.510198	0.000272815
83	0.593874	0.603155	0.512212	0.000266469
84	0.595188	0.604357	0.513597	0.0002618
85	0.593811	0.608011	0.515906	0.000254438
86	0.592756	0.605856	0.51855	0.000246251
87	0.591971	0.606924	0.519166	0.000243814
88	0.592315	0.601631	0.520027	0.00024067
89	0.593539	0.608101	0.521942	0.000234491
90	0.594193	0.603648	0.524181	0.000227012
91	0.594526	0.639271	0.526375	0.000219656
92	0.593292	0.616632	0.528786	0.000211688
93	0.592112	0.605318	0.528884	0.000211154
94	0.592628	0.600336	0.52902	0.000210451
95	0.592027	0.603741	0.529124	0.000209759
96	0.593018	0.604631	0.530547	0.000204907
97	0.592055	0.599836	0.531836	0.000200781
98	0.594027	0.601782	0.533429	0.000195453
99	0.591767	0.608008	0.534808	0.00019073
100	0.59333	0.60346	0.535727	0.000187494
101	0.59301	0.604793	0.536586	0.000184454
102	0.592977	0.603723	0.537878	0.000180097
103	0.592907	0.602068	0.538782	0.00017706
104	0.593123	0.599483	0.539302	0.000175153
105	0.592734	0.60253	0.540197	0.000172168
106	0.592966	0.605562	0.541342	0.000168422
107	0.592402	0.60134	0.541395	0.000168097
108	0.592638	0.601285	0.54166	0.000167067
109	0.593229	0.59943	0.542456	0.000164441
110	0.592656	0.600107	0.543122	0.000162154
111	0.591957	0.60205	0.54398	0.000159307
112	0.593172	0.602778	0.545607	0.000154229
113	0.593762	40.3653	0.546079	0.000152578
114	0.594691	0.602979	0.547037	0.000149373
115	0.592515	0.599754	0.547582	0.000147519
116	0.593253	0.604684	0.548071	0.000145742
117	0.591802	0.634932	0.548814	0.000143329
118	0.591867	0.601816	0.549652	0.000140599
119	0.59111	0.616221	0.549603	0.000140444
120	0.594119	0.6007	0.550151	0.000138514
121	0.592252	0.603769	0.551267	0.000134776
122	0.594835	0.604238	0.552392	0.000130923
123	0.592601	0.601651	0.552713	0.000129666
124	0.592237	0.610529	0.553271	0.0001277
125	0.592256	0.602274	0.553695	0.000126296
126	0.593387	0.601291	0.553961	0.000125286
127	0.594015	0.602711	0.554407	0.000123723
128	0.593469	0.602476	0.555242	0.000121056
129	0.593572	0.600396	0.55571	0.000119435
130	0.592257	0.601126	0.557294	0.000114338
131	0.592244	0.602717	0.557385	0.000114016
132	0.593299	0.600004	0.557995	0.000112076
133	0.59352	0.603552	0.55811	0.000111522
134	0.592201	0.5988	0.558698	0.000109538
135	0.593849	0.59994	0.559451	0.000107081
136	0.592557	0.599745	0.559735	0.000106016
137	0.593393	0.598727	0.560006	0.000105205
138	0.591763	0.600506	0.560391	0.000104021
139	0.590472	0.597136	0.560297	0.000103905
140	0.592413	0.600649	0.560695	0.000102649
141	0.592352	0.630377	0.56077	0.000102333
142	0.592978	0.607117	0.560946	0.000101697
143	0.593558	0.599859	0.561091	0.000101057
144	0.593562	0.599559	0.56123	0.000100455
145	0.593321	0.599076	0.561902	9.82917e-05
146	0.591137	0.595917	0.562597	9.58888e-05
147	0.592363	0.619469	0.562745	9.54004e-05
148	0.593001	0.609075	0.56347	9.31691e-05
149	0.591991	0.598832	0.563886	9.16891e-05
150	0.591615	0.598724	0.564121	9.08036e-05
151	0.591865	0.616817	0.564158	9.05657e-05
152	0.592172	0.601207	0.564507	8.93319e-05
153	0.591883	0.598568	0.565188	8.70447e-05
154	0.594255	0.679592	0.565688	8.54887e-05
155	0.593333	0.597961	0.565894	8.48267e-05
156	0.591664	0.596377	0.566309	8.34867e-05
157	0.592152	0.599182	0.566492	8.28639e-05
158	0.592808	0.601629	0.567151	8.09344e-05
159	0.591642	0.59779	0.567468	7.97768e-05
160	0.592712	0.603335	0.568193	7.75565e-05
161	0.593454	0.59615	0.568489	7.6698e-05
162	0.592693	0.616535	0.568827	7.56478e-05
163	0.590668	0.595407	0.569095	7.47401e-05
164	0.590063	0.597628	0.568947	7.50358e-05
165	0.591991	0.598647	0.56907	7.4551e-05
166	0.592734	0.603865	0.569473	7.32187e-05
167	0.59168	0.598293	0.569721	7.22929e-05
168	0.591864	0.600164	0.569951	7.14448e-05
169	0.591218	0.621066	0.5701	7.08835e-05
170	0.591979	0.605355	0.570365	6.99553e-05
171	0.592888	0.598036	0.570719	6.86928e-05
172	0.593065	0.598407	0.57093	6.7904e-05
173	0.591769	0.595736	0.571075	6.73206e-05
174	0.592305	0.594455	0.571143	6.703e-05
175	0.591473	0.620412	0.571345	6.64297e-05
176	0.59201	0.598629	0.57163	6.55853e-05
177	0.592022	0.595936	0.57193	6.4752e-05
178	0.591325	0.594121	0.572155	6.40062e-05
179	0.590952	0.623885	0.572261	6.35669e-05
180	0.591711	0.596877	0.572655	6.23775e-05
181	0.592175	0.599172	0.572692	6.21832e-05
182	0.591705	0.597535	0.5728	6.18249e-05
183	0.590869	0.597033	0.572835	6.15818e-05
184	0.590559	0.598209	0.5728	6.15732e-05
185	0.591549	0.616668	0.573016	6.08194e-05
186	0.591828	0.5974	0.573281	5.98962e-05
187	0.591902	0.598047	0.573451	5.92971e-05
188	0.591342	0.597402	0.573488	5.91382e-05
189	0.591296	0.597373	0.573963	5.77002e-05
190	0.592477	0.597024	0.574044	5.7438e-05
191	0.592358	0.594301	0.574368	5.63524e-05
192	0.590821	0.59585	0.574275	5.64952e-05
193	0.589633	0.595396	0.57399	5.72272e-05
194	0.59273	0.59678	0.574338	5.61491e-05
