Step	Best	Median	Predicted	Progress
0	97.719	98.5331	0	0
1	97.7794	98.3329	127.999	-0.000618127
2	97.6446	97.8338	79.0422	0.00038095
3	97.5544	97.7081	52.4723	0.000923392
4	97.5349	97.7014	61.2561	0.00074263
5	97.4418	97.7041	66.4794	0.000634818
6	97.4364	97.6011	69.6335	0.000569669
7	97.3734	97.5665	70.2061	0.000557056
8	97.2655	97.5397	69.5223	0.000569994
9	97.2362	97.5126	69.4571	0.000570213
10	97.1589	97.4786	67.8596	0.000601727
11	97.1333	97.4596	67.954	0.000598813
12	97.2221	97.4179	69.0291	0.000576021
13	97.111	97.4021	70.069	0.000553988
14	96.9838	97.424	70.0906	0.0005526
15	96.8846	97.3158	69.2826	0.000568033
16	96.8573	97.3324	69.0827	0.000571059
17	96.9252	97.2209	69.4416	0.000562891
18	96.8489	97.1468	69.8754	0.000553211
19	96.848	97.2457	70.4435	0.000540882
20	96.7411	97.0708	70.6039	0.000536905
21	96.7584	97.0666	70.9541	0.000529029
22	96.6946	97.1088	71.7099	0.000513121
23	96.6531	97.0524	71.9351	0.000507739
24	96.5142	96.9092	72.1906	0.00050168
25	96.394	97.033	71.4571	0.000515483
26	96.5368	96.9457	72.0932	0.000501932
27	96.4566	96.9969	72.3738	0.000495541
28	96.2734	96.9013	71.9958	0.000502184
29	96.2766	96.8024	71.7894	0.000505424
30	96.113	96.6331	71.3222	0.00051378
31	96.2117	96.721	71.6914	0.00050568
32	96.1287	96.5226	71.5695	0.000507216
33	95.9655	96.6349	71.277	0.000512108
34	95.8488	96.5859	70.9276	0.000518266
35	95.9873	96.4292	71.1138	0.000513632
36	95.9767	96.3126	71.2833	0.000509468
37	95.754	96.3873	71.0144	0.000513896
38	95.8237	96.3648	71.0129	0.000513064
39	95.793	96.3061	71.0015	0.000512465
40	95.6753	96.3034	70.8508	0.000514573
41	95.4243	96.0833	70.5315	0.000520106
42	95.5854	96.1816	70.528	0.000519286
43	95.4241	96.1233	70.3511	0.000521871
44	95.4787	96.1161	70.1604	0.000524695
45	95.326	95.9913	69.8651	0.000529618
46	95.2786	95.9258	69.7163	0.000531687
47	95.1356	95.8286	69.5554	0.000533972
48	94.8174	95.9138	69.3687	0.000536751
49	94.7837	95.657	69.1594	0.0005399
50	94.6381	95.7107	68.9877	0.000542307
51	94.3478	95.5128	68.8114	0.000544826
52	94.6145	95.3068	68.4655	0.000550608
53	93.9593	95.2788	68.0885	0.000556961
54	91.9628	95.5728	67.9506	0.000558733
55	91.8486	95.3435	67.8098	0.000560564
56	91.5943	95.1952	67.6696	0.000562375
57	91.4566	94.9935	67.472	0.000565365
58	91.4692	94.8567	67.1604	0.000570456
59	91.446	93.3015	66.8853	0.000574886
60	91.234	95.2583	66.6752	0.000578059
61	91.3706	92.8562	66.4483	0.000581473
62	91.3973	93.5835	66.1748	0.000585732
63	91.3687	93.0011	65.8775	0.000590574
64	91.1342	92.7164	65.6107	0.000594708
65	91.1067	93.1654	65.3379	0.000599027
66	91.1584	92.5564	64.8604	0.000607308
67	90.9329	92.6361	64.4055	0.000615099
68	90.6501	92.2734	64.112	0.000619578
69	90.7146	92.2605	63.8335	0.000623904
70	90.7817	92.4471	63.5922	0.000627522
71	90.8284	91.9538	63.2526	0.000632888
72	90.7787	91.88	62.7088	0.000642081
73	90.6522	92.1743	62.2887	0.000649275
74	90.4383	91.7434	62.1106	0.000651674
75	90.3749	91.8573	61.7485	0.00065752
76	90.6914	92.2471	61.2678	0.000665615
77	90.2237	91.9811	60.5202	0.000678851
78	90.531	92.2115	59.9849	0.000687888
79	90.6375	92.3892	59.3711	0.000698409
80	90.383	91.6969	58.4336	0.000714977
81	90.5812	91.9289	57.0607	0.000739994
82	90.7287	91.8851	56.3902	0.000751434
83	90.5013	91.4175	55.0045	0.00077627
84	89.8988	91.3628	54.0316	0.000793608
85	90.5932	91.4329	53.2872	0.000806457
86	90.062	91.4488	52.6983	0.00081618
87	90.1823	91.6138	51.5539	0.000836626
88	90.3283	91.3015	49.6673	0.00087105
89	90.4616	91.1838	47.0191	0.000919952
90	89.9929	91.3359	45.9613	0.00093937
91	90.2169	91.2144	45.0112	0.000956628
92	89.8893	90.8778	44.5927	0.000963643
93	89.6162	90.7701	43.8057	0.000977484
94	89.6111	90.6624	43.5605	0.000980948
95	89.8278	90.9133	43.4955	0.000980939
96	89.5023	90.7824	43.4783	0.000979945
97	89.6304	90.777	43.5057	0.000978171
98	89.5971	90.8712	42.8097	0.000990576
99	88.6609	90.8408	42.234	0.00100019
100	89.159	90.929	41.5965	0.00101145
101	89.6084	90.9638	41.9722	0.00100292
102	89.092	90.6527	41.6948	0.00100739
103	89.1365	90.4595	41.4549	0.00101087
104	88.995	90.639	41.3897	0.00101087
105	88.7588	90.4001	41.1527	0.00101425
106	88.8754	90.2741	41.3546	0.00100885
107	87.6377	90.4406	40.9631	0.00101528
108	89.3025	90.4448	41.1661	0.00100987
109	88.0436	90.1716	41.1561	0.00100867
110	88.1377	90.3236	41.2336	0.00100579
111	89.0077	90.8447	41.4778	0.000999606
112	88.5459	90.3783	41.4851	0.000998109
113	85.5601	90.3847	41.2916	0.00100061
114	87.6416	90.0187	41.1483	0.00100207
115	84.2212	89.8857	40.8108	0.00100738
116	88.0342	90.5299	40.9619	0.00100307
117	82.4192	90.2196	40.6235	0.0010084
118	86.1693	89.9524	40.3615	0.00101221
119	85.766	90.5169	40.0806	0.00101637
120	79.9944	90.0799	39.5476	0.00102542
121	84.6152	90.3997	38.7401	0.00103947
122	77.2562	90.1061	38.3089	0.00104646
123	76.8024	89.4325	38.1045	0.00104911
124	78.4264	89.4818	37.8793	0.00105218
125	84.6644	90.1562	37.6382	0.00105527
126	75.1466	89.772	37.4373	0.00105754
127	84.93	89.2901	37.1651	0.0010614
128	79.9662	89.7159	36.8027	0.00106681
129	76.2423	88.2514	36.4857	0.00107138
130	75.0418	89.5849	36.1821	0.00107569
131	67.9729	87.8869	35.846	0.00108077
132	77.1798	89.0778	35.3513	0.00108879
133	79.5121	89.0641	34.5362	0.00110278
134	78.3965	89.4077	34.1134	0.00110932
135	76.5559	88.586	33.7748	0.00111443
136	70.1401	88.7634	33.4777	0.0011186
137	69.4607	88.4123	33.3102	0.00112035
138	77.2046	90.0019	32.8286	0.00112797
139	76.9919	89.8254	32.6317	0.00113039
140	81.1172	90.5038	32.4089	0.0011332
141	76.3089	90.2982	31.9881	0.0011398
142	75.0271	90.0113	31.548	0.00114666
143	76.1726	88.9535	31.1488	0.00115291
144	75.1669	88.2299	30.8709	0.00115687
145	77.554	89.1248	30.103	0.00116994
146	76.8116	88.0219	29.5577	0.001179
147	79.3261	88.5604	29.3295	0.00118188
148	77.063	88.862	29.092	0.00118484
149	84.4065	88.7418	29.1147	0.00118328
150	73.8073	89.6403	28.8769	0.00118625
151	68.2425	87.5702	28.5563	0.00119083
152	74.242	88.9717	28.0087	0.00119965
153	66.5029	87.8501	27.6932	0.00120417
154	64.1714	88.1218	27.034	0.0012154
155	76.8932	88.8615	26.3323	0.0012271
156	69.1071	89.5423	25.7559	0.00123647
157	69.1997	88.1424	25.3273	0.00124321
158	74.5072	88.2413	24.9462	0.00124913
159	74.1634	88.9079	24.34	0.00125923
160	77.7689	87.3606	23.8594	0.00126688
161	77.9016	89.0615	23.2145	0.00127792
162	69.387	86.2293	22.5718	0.0012888
163	67.2898	86.891	21.8149	0.00130171
164	68.9686	85.2535	21.4101	0.00130799
165	76.6332	87.3645	21.0298	0.00131377
166	69.4606	87.0344	20.2654	0.00132677
167	74.108	85.1552	19.2665	0.00134425
168	74.1863	84.8692	18.7617	0.00135248
169	75.7568	85.2582	18.235	0.00136115
170	65.1215	85.5794	17.4822	0.00137397
171	67.4081	86.0386	17.0389	0.00138097
172	76.2427	87.948	16.5746	0.00138831
173	62.4334	86.5897	15.8292	0.00140115
174	76.8299	86.2776	15.1549	0.00141264
175	69.7019	84.018	14.4907	0.00142388
