Step	Best	Median	Predicted	Progress
0	85.4864	95.1362	0	0
1	89.0849	95.4213	1888.31	-0.0403935
2	86.3505	93.3401	302.379	-0.00501607
3	81.4631	92.392	-1284.63	0.0320653
4	77.867	93.9729	-1666.06	0.0419203
5	81.4576	91.6921	-1290.1	0.0331276
6	84.9796	92.9093	-1013.71	0.0262729
7	81.5454	90.3438	-395.483	0.0114149
8	69.8389	91.0077	-841.136	0.0224168
9	71.9037	92.154	-801.52	0.0218627
10	68.6548	90.1595	-789.874	0.0220743
11	66.6141	90.8956	-927.055	0.0257472
12	73.79	91.8062	-788.977	0.0224657
13	74.495	91.9013	-714.767	0.0203771
14	64.7394	88.8356	-765.575	0.0219853
15	73.7983	88.5693	-689.669	0.0200077
16	76.3216	86.7561	-618.652	0.0178716
17	63.1444	90.248	-584.788	0.0173112
18	61.6982	86.9089	-640.175	0.0190549
19	63.9254	84.3379	-626.328	0.0186662
20	61.5868	88.8878	-582.666	0.0174529
21	68.8546	88.4095	-520.539	0.0159501
22	71.541	90.2527	-496.776	0.0153518
23	72.788	87.4295	-436.418	0.0135531
24	71.7378	85.6069	-393.649	0.012347
25	73.6842	85.3504	-359.544	0.0113815
26	68.4157	85.7688	-308.379	0.0100326
27	66.547	87.1033	-261.936	0.00881651
28	57.8941	84.9401	-276.152	0.00925132
29	57.2505	84.4407	-278.112	0.00933777
30	61.1685	82.8198	-285.979	0.00958427
31	73.1662	84.2115	-264.517	0.00900284
32	67.8829	85.918	-237.736	0.00826828
33	61.6728	83.37	-229.676	0.0080964
34	65.5915	82.2102	-214.652	0.00770837
35	69.9223	82.3735	-199.631	0.00729387
36	65.4233	81.3649	-184.745	0.0068864
37	62.5287	84.0152	-181.771	0.00682463
38	64.1862	82.7287	-173.496	0.00660939
39	56.8616	79.8284	-181.072	0.00682602
40	61.3894	80.8858	-184.608	0.00693112
41	61.3471	78.1499	-179.893	0.00681401
42	61.4206	79.5808	-167.925	0.00649894
43	71.0581	82.1128	-161.423	0.00632956
44	61.7819	80.5816	-158.341	0.00625772
45	58.9765	80.4029	-161.576	0.00635067
46	66.2104	77.3076	-151.158	0.00606883
47	57.0923	76.4724	-162.462	0.00639126
48	56.3872	77.8603	-167.339	0.00653664
49	65.0263	76.6296	-163.349	0.00643237
50	61.223	75.6578	-152.848	0.0061434
51	62.516	79.6606	-152.077	0.00611604
52	66.2522	77.8012	-142.209	0.0058361
53	66.0201	78.8302	-132.61	0.00559062
54	53.6822	78.9704	-143.012	0.00587036
55	61.8299	80.3607	-134.854	0.0056613
56	66.3455	76.5765	-129.232	0.00551271
57	57.0993	79.9529	-128.995	0.00551181
58	57.2818	78.8077	-123.384	0.00535235
59	61.383	75.0412	-118.116	0.00520864
60	58.0727	77.9892	-116.449	0.00515482
61	57.3792	76.1112	-112.065	0.00503146
62	63.3119	75.9756	-102.132	0.00476462
