Step	Best	Median	Predicted	Progress
0	98.7197	98.804	0	0
1	98.691	98.7704	84.3554	0.000290515
2	98.5555	98.7413	57.496	0.000832879
3	98.6034	98.7223	77.949	0.000418702
4	98.4284	98.6681	65.6159	0.000666448
5	98.3583	98.6448	62.2163	0.000733826
6	98.398	98.6478	66.0196	0.000656132
7	98.3583	98.5797	68.3487	0.000608497
8	98.2633	98.5656	68.7228	0.000599988
9	97.797	98.5599	67.0181	0.000633125
10	98.1485	98.4816	68.5254	0.00060195
11	98.0209	98.4127	67.5096	0.000621212
12	98.1399	98.3667	68.407	0.000602312
13	98.0282	98.3837	69.4351	0.000580604
14	98.1627	98.4788	71.3095	0.000542359
15	97.7636	98.4461	69.321	0.000580942
16	97.0353	98.4559	68.875	0.000588907
17	98.0376	98.4192	69.2068	0.000581279
18	97.9514	98.3789	71.0963	0.000542948
19	98.0883	98.4277	72.1043	0.000521898
20	97.9816	98.3893	73.7663	0.000488088
21	97.9833	98.3704	75.6971	0.00044901
22	97.902	98.3583	76.902	0.000424358
23	97.718	98.3802	77.7126	0.000407613
24	97.6418	98.2825	77.3222	0.000414606
25	97.7795	98.3171	77.8114	0.000404248
26	97.8008	98.2784	78.8358	0.000383421
27	97.5093	98.239	78.9452	0.00038059
28	97.5807	98.2339	79.1327	0.000376216
29	97.3923	98.2717	78.8697	0.000380752
30	96.8858	98.2008	78.1163	0.000394817
31	95.139	98.0829	77.4573	0.000406984
32	95.2372	97.9401	77.0243	0.000414681
33	95.9602	98.1229	76.5811	0.000422544
34	95.3562	98.124	75.8689	0.000435808
35	96.9002	98.0429	75.4459	0.000443302
36	95.5337	98.0542	74.9245	0.000452723
37	96.5534	97.9962	73.9046	0.0004717
38	95.0885	98.1464	72.7076	0.000494037
39	95.4209	98.1275	71.5399	0.000515685
40	95.1796	98.0484	70.7106	0.000530988
41	95.4313	97.9542	70.3077	0.00053789
42	95.4604	97.9939	69.4563	0.000553424
43	95.0057	97.988	67.7226	0.000585705
44	95.4576	97.6991	67.4336	0.000590356
45	95.5307	97.8932	66.393	0.000609524
46	95.2016	97.7353	65.0999	0.000633427
47	95.5979	97.8309	64.2617	0.000648552
48	95.2142	97.5428	62.6744	0.0006778
49	95.0434	97.7837	61.3388	0.000702724
50	95.134	97.6769	59.7731	0.000731785
51	95.3911	97.8856	59.6009	0.000734038
52	95.3461	97.7084	60.1094	0.0007232
53	94.7982	97.6502	57.8088	0.000766335
54	95.0409	97.8151	56.2259	0.000796043
55	95.5464	97.6738	57.715	0.000766003
56	95.2875	97.5777	57.7578	0.000764024
57	95.2257	97.3579	57.4547	0.000768896
58	94.9954	97.4159	57.2238	0.000772218
59	95.2357	97.0283	57.6596	0.000762724
60	95.3126	97.4701	57.8942	0.000757171
61	95.2921	96.9886	58.5274	0.000744055
62	95.0214	97.5222	60.997	0.000695803
63	95.1053	97.4055	61.4739	0.0006857
64	95.1541	96.5456	62.2037	0.000670863
65	95.1214	96.7621	62.3732	0.000666698
66	95.3144	96.8499	62.9611	0.000654682
67	95.1442	96.3801	63.1235	0.000650639
68	94.96	96.5972	63.627	0.000640051
69	95.0656	96.4892	64.1413	0.000629517
70	94.9519	96.9767	64.4866	0.000622143
71	95.1592	96.4157	64.7954	0.000615412
72	95.0463	96.0468	65.285	0.000605183
73	95.1509	97.2374	65.7356	0.000595915
74	94.8938	96.0001	66.1425	0.000587036
75	95.2962	96.2034	66.9409	0.000571174
76	95.005	95.8627	67.9584	0.000550675
77	95.0964	96.366	69.9631	0.000511187
78	95.1361	96.2498	71.699	0.000476383
79	95.1858	96.0162	74.0529	0.000429817
80	95.0356	95.6072	74.9746	0.000410821
81	95.1811	95.9513	77.1068	0.000367693
82	95.1584	95.8015	78.3708	0.00034194
83	95.0366	96.3552	79.4713	0.000319475
84	95.1484	95.9836	80.7585	0.000293357
85	95.0908	95.5547	81.1919	0.00028456
86	94.9503	95.6109	81.6803	0.000274619
87	94.8433	95.6259	82.0771	0.000266105
88	95.0631	95.6344	82.4248	0.000258571
89	95.1346	95.6384	83.3038	0.00024041
90	95.0513	96.8761	83.7106	0.000231789
91	94.8822	95.5023	83.8885	0.000228171
92	95.0275	95.6201	84.4125	0.000217447
93	95.0697	95.4537	85.0085	0.000205119
94	94.9214	95.3821	85.3809	0.00019737
95	95.0266	95.4692	85.9522	0.000185696
96	95.0007	95.3671	86.2135	0.000180341
97	94.9944	95.3889	86.4174	0.000176384
98	95.0639	95.3838	86.8784	0.00016692
99	94.9849	95.2789	87.3551	0.000157434
100	95.0225	95.3115	87.6227	0.000151846
