Step	Best	Median	Predicted	Progress
0	97.3088	101	0	0
1	94.9168	99.8955	-1101.11	0.0252015
2	97.3751	99.6216	113.948	-0.000340452
3	93.6434	99.0272	-370.54	0.00978034
4	81.5718	98.6722	-834.728	0.0199522
5	75.2482	97.4388	-1786.53	0.0430001
6	69.6371	94.2416	-2824.96	0.0688287
7	70.519	95.0805	-2680.88	0.0676617
8	78.5314	98.6833	-2212.36	0.0573983
9	61.7362	94.4483	-2087.84	0.0548722
10	61.7684	96.1096	-1970.33	0.0529645
11	57.7184	93.993	-1865.93	0.0512253
12	60.6255	97.018	-1757.3	0.0489429
13	70.2609	93.3224	-1644.01	0.0466347
14	69.4085	94.5184	-1521.7	0.0427469
15	74.5092	98.2923	-1406.94	0.0399195
16	72.3746	93.3861	-1308.53	0.0367427
17	70.5345	93.7973	-1132.28	0.0313358
18	69.0185	95.5155	-1027.82	0.028403
19	65.4363	92.1569	-811.676	0.0229639
20	69.9208	90.5174	-530.532	0.0157458
21	69.7554	89.0139	-228.518	0.00804649
22	71.4139	93.9831	-112.857	0.00499209
23	65.9711	93.8587	-150.343	0.00601756
24	77.5681	93.9401	-80.6165	0.00413915
25	60.2233	91.3269	-151.215	0.00605399
26	73.1208	85.8174	-81.2138	0.00415635
27	65.7805	94.5833	-121.273	0.00524352
28	57.808	91.3454	-151.704	0.00609634
29	68.9809	93.8859	-122.026	0.00527116
30	60.8508	93.5069	-152.572	0.00613373
31	65.4216	90.4857	-124.191	0.00533837
32	65.8523	89.2824	-94.7513	0.00453983
33	64.7703	85.96	-111.052	0.00499216
34	56.5993	88.092	-119.299	0.00521799
35	61.619	86.7094	-128.066	0.00546254
36	63.3299	86.809	-129.295	0.00549915
37	57.1346	91.3099	-146.003	0.00598241
38	60.5705	85.4637	-155.809	0.00628165
39	47.2123	89.4868	-177.147	0.00686588
40	49.0954	89.7819	-189.35	0.00722076
41	67.0869	90.443	-178.335	0.00692001
42	35.4268	85.2637	-190.762	0.00728415
43	50.2843	83.463	-211.526	0.00787617
44	72.0616	92.5679	-191.758	0.00733759
45	52.6786	89.5026	-212.599	0.00793869
46	68.686	88.9167	-192.753	0.00739183
47	58.8037	83.9719	-181.185	0.00706672
48	70.4925	86.381	-180.226	0.00705159
49	60.4919	81.184	-155.811	0.00635042
50	65.2819	82.1792	-145.765	0.00604926
51	56.2169	83.3276	-152.87	0.00626885
52	65.7882	84.0563	-146.577	0.00608608
53	62.1611	84.4265	-142.345	0.00596108
54	60.6642	81.6473	-136.177	0.00578387
55	68.9662	80.9069	-128.337	0.00555958
56	60.5514	84.1082	-117.789	0.00526164
57	58.1364	84.7316	-111.022	0.005065
58	65.4138	81.8679	-103.903	0.00484836
59	56.3181	80.7022	-104.599	0.00488434
60	53.634	81.1941	-111.233	0.00507874
61	47.2234	82.9478	-118.974	0.00531066
62	42.827	80.572	-121.423	0.00539022
63	71.528	81.1578	-119.671	0.00533901
64	46.7062	80.8486	-122.127	0.00541943
65	37.9217	80.9469	-128.129	0.00560126
66	61.3375	83.0553	-122.831	0.00544896
67	47.9697	81.049	-128.854	0.00563281
68	60.5843	81.3311	-123.535	0.00547881
69	49.6919	83.1645	-128.174	0.00562213
70	70.9378	84.476	-124.238	0.005509
71	65.8189	81.2171	-122.279	0.00545012
72	65.2003	85.8508	-111.526	0.00513791
73	58.2849	83.5322	-106.424	0.00497541
74	60.6011	83.7134	-98.6374	0.00473765
75	68.549	80.2675	-92.0513	0.00455475
76	70.8724	83.2372	-86.2464	0.00439073
77	51.1804	81.4185	-87.1958	0.00442172
78	65.1165	82.7652	-86.493	0.0044012
79	63.3995	80.6651	-85.6445	0.00436507
80	60.1773	80.1695	-83.3296	0.0042845
81	67.0122	81.5989	-63.2886	0.00369092
82	51.7364	80.7896	-68.8923	0.0038566
83	47.1267	80.5923	-65.3078	0.00375198
84	58.0145	80.4766	-56.0688	0.00347648
85	38.2261	79.9111	-63.3658	0.00369361
86	57.2012	84.4313	-54.2267	0.00342093
87	60.2206	81.1251	-51.5046	0.00333737
88	64.868	81.6332	-47.3889	0.00321073
89	66.5302	79.7005	-42.587	0.00306656
90	64.4762	80.7057	-38.6754	0.0029539
91	43.8066	80.9238	-42.9779	0.00307599
92	42.6283	79.3411	-48.2057	0.00323148
93	69.8996	80.3969	-43.3688	0.00308548
94	58.5434	81.421	-39.6361	0.00297748
95	60.7943	80.6502	-35.9695	0.00286534
96	56.0813	79.3541	-24.3997	0.00252581
97	60.4541	80.6655	-18.9489	0.00237049
98	42.9878	78.957	-24.8544	0.00253589
99	55.5886	78.251	-25.1154	0.00254193
100	65.816	82.2595	-20.2008	0.00240251
101	59.8148	80.6643	-21.5294	0.00243806
102	26.4425	79.4468	-24.9297	0.00253287
103	68.543	82.697	-21.8373	0.00244402
104	64.6151	81.0151	-16.622	0.00229218
105	51.729	79.6933	-16.1887	0.00227803
106	48.6963	75.1993	-21.1102	0.00241995
107	42.1376	80.8494	-26.0077	0.00255684
108	47.5769	80.2533	-26.6973	0.00257495
109	51.3283	78.6388	-29.3043	0.00265027
110	67.4354	79.9644	-26.48	0.00256645
111	60.3007	80.1031	-24.0844	0.00249788
112	60.1597	78.272	-19.0936	0.00235221
113	55.1369	76.2742	-16.6637	0.00227928
114	57.3332	80.6737	-15.6655	0.00224798
115	66.5418	80.4724	-14.3728	0.00220851
116	57.0047	77.9377	-11.9785	0.002138
117	65.7383	77.4911	-11.0622	0.00210963
118	61.716	77.0669	-6.64694	0.00198109
119	66.9993	79.3275	-5.66177	0.00195089
120	63.2476	76.5599	-5.01994	0.00193079
121	56.9451	83.986	-4.44021	0.00191264
122	56.2863	77.3618	-3.34413	0.00187975
123	49.7365	75.476	-5.58241	0.00194203
124	55.8554	75.1108	-3.5787	0.00188329
125	60.0497	78.5447	-0.318146	0.00178841
126	60.2469	75.956	3.91647	0.00166613
127	65.5729	74.9939	5.6117	0.00161587
128	51.3401	75.0212	4.00003	0.00166055
