Step	Best	Median	Predicted	Progress
0	102.174	103.524	0	0
1	102.285	103.753	157.938	-0.00108819
2	101.743	103.079	-5.79285	0.00211164
3	101.922	102.73	35.4866	0.00130145
4	101.363	102.799	0.0898819	0.00199226
5	100.838	102.599	-29.5281	0.00257124
6	100.912	102.195	-28.7175	0.00255314
7	100.976	102.463	-8.34461	0.00215175
8	100.733	102.069	-4.03873	0.00206531
9	100.768	103.347	2.32977	0.00193848
10	100.966	102.281	18.992	0.00161025
11	100.714	101.701	28.7673	0.00141722
12	100.44	101.843	39.0151	0.00121495
13	100.223	102.819	36.3465	0.00126545
14	100.523	103.355	42.0758	0.00115154
15	100.031	101.347	38.2378	0.00122503
16	99.7286	101.446	33.5221	0.00131568
17	99.7453	101.647	33.2664	0.00131892
18	99.9847	100.878	35.669	0.00127023
19	99.4766	100.76	34.6468	0.00128846
20	98.7872	100.494	32.4535	0.00132963
21	98.9123	100.151	30.6093	0.00136382
22	98.8182	100.14	29.8079	0.00137747
23	98.6566	100.364	28.3515	0.00140408
24	98.3797	100.232	26.5447	0.00143744
25	98.0435	99.9567	24.3215	0.00147892
26	98.343	100.36	24.5689	0.00147233
27	98.469	99.8877	26.096	0.00144093
28	98.2285	100.194	27.2141	0.00141739
29	98.3506	99.9599	28.4916	0.00139088
30	97.7834	99.7204	27.0167	0.00141773
31	97.6871	99.8339	26.4032	0.00142797
32	97.7595	99.839	27.0836	0.00141306
33	97.5791	99.9969	27.7083	0.00139917
34	97.5156	99.737	28.0013	0.00139179
35	98.0247	100.556	28.1927	0.00138657
36	97.6799	99.0579	28.8162	0.00137288
37	97.7701	100.283	29.1312	0.00136508
38	97.6587	100.016	29.4709	0.00135682
39	97.9437	100.06	30.1743	0.00134155
40	97.7569	99.7874	31.2597	0.00131884
41	97.8979	99.4472	32.0401	0.00130207
42	97.8075	98.9709	32.6399	0.0012889
43	97.6012	99.6652	32.9646	0.00128097
44	97.7639	99.7831	33.7998	0.00126325
45	97.7202	99.0802	34.7615	0.00124329
46	97.7422	99.1062	36.1091	0.0012159
47	97.6432	100.217	37.2492	0.00119251
48	97.8946	99.1608	38.4355	0.00116842
49	98.1039	99.6505	39.0621	0.00115494
50	97.9583	99.2009	41.2856	0.00111112
51	97.8328	99.3456	42.9533	0.00107788
52	97.5982	98.6689	44.2721	0.00105118
53	97.807	100.311	45.826	0.00102005
54	97.5906	98.9747	46.8049	0.00100052
55	97.773	99.2459	47.5357	0.000985484
56	97.5985	98.9215	52.6834	0.000886252
57	97.3679	98.8289	53.8316	0.000863272
58	97.3598	98.6958	57.8518	0.000785609
59	97.5067	98.5572	61.8917	0.000706755
