Step	Best	Median	Predicted	Progress
0	72.3569	95.7355	0	0
1	52.6175	95.2938	-9817.12	0.375151
2	51.8509	92.7508	-5074.65	0.179949
3	29.0973	90.3051	-6513.9	0.296273
4	31.855	87.2496	-5031.15	0.216411
5	41.927	87.8607	-4204.77	0.202122
6	56.2024	86.2723	-2216.76	0.099807
7	47.2818	85.2307	99.4607	-0.00200523
8	39.9525	86.3373	-404.468	0.0182271
9	49.2509	88.0266	5.10695	0.00177531
10	49.8813	86.359	43.5429	0.000231143
11	50.8986	81.3019	473.393	-0.0181417
12	35.2259	78.2397	43.5201	0.000231196
13	41.2834	81.9893	-343.87	0.0162447
14	42.6582	81.3699	-313.984	0.0150818
15	37.8868	78.5476	-372.988	0.0177462
16	40.0565	80.3973	-369.996	0.0177484
17	48.1405	78.7173	-352.466	0.0170428
18	62.4859	80.1696	-262.331	0.0132387
19	45.5263	83.3896	-151.194	0.00822866
20	51.0286	76.5719	-78.443	0.00519517
21	26.2461	83.583	-151.975	0.00829693
22	47.7791	77.3858	-78.9379	0.0052223
23	27.121	79.1643	-152.755	0.00836635
24	40.8261	76.3542	-102.395	0.00633646
25	0.962796	77.3399	-177.236	0.00962182
26	28.3235	77.1349	-267.178	0.0139789
27	29.1299	77.3707	-326.287	0.016931
28	44.8359	74.8412	-247.397	0.0131414
29	38.7974	74.102	-188.228	0.0102157
30	36.2376	77.1925	-217.211	0.0116294
31	1.02191	73.9695	-235.067	0.0125295
32	31.5976	73.6177	-247.36	0.0133783
33	44.0231	72.8782	-224.582	0.0121701
34	3.90647	76.6495	-248.482	0.0135597
35	33.997	74.8128	-247.32	0.0133211
36	35.2533	74.5018	-235.565	0.0126644
37	27.3139	73.5586	-260.868	0.0141797
38	39.6615	73.7971	-239.182	0.0129301
39	0.941209	73.9297	-276.152	0.0151889
40	8.20036	72.1812	-292.463	0.0163847
41	9.89584	74.8907	-305.017	0.0171789
42	25.5641	73.0621	-296.812	0.0167872
43	0.940868	73.0517	-313.276	0.0177928
44	0.938109	72.5443	-330.682	0.01888
45	28.9437	68.8012	-317.048	0.0182397
46	16.7171	71.9609	-333.98	0.0193772
47	27.1087	67.928	-318.405	0.0185786
48	21.2497	72.3276	-333.444	0.0195878
49	30.5707	69.8785	-309.438	0.0181669
